subsub-1793622,ses2,	sub0021006,ses2,	subsub-8735778,ses1,	subsub-2475376,ses1,	subsub-2799329,ses1,	sub0021006,ses1,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-2475376,ses2,	subsub-2799329,ses2,	subsub-7055197,ses1,	sub0021002,ses1,	sub0021024,ses2,	subsub-9630905,ses1,	subsub-7055197,ses2,	sub0021024,ses1,	sub0021002,ses2,	subsub-9630905,ses2,	sub3795193,ses2,	subsub-2842950,ses1,	sub3201815,ses2,	sub4288245,ses1,	sub3795193,ses1,	subsub-2842950,ses2,	sub3201815,ses1,	sub4288245,ses2,	sub0021001,ses1,	sub3313349,ses2,	subsub-1961098,ses2,	sub0021018,ses1,	sub4176156,ses2,	sub3808535,ses2,	subsub-3315657,ses2,	sub3313349,ses1,	sub0021001,ses2,	subsub-1961098,ses1,	sub0021018,ses2,	sub4176156,ses1,	sub3808535,ses1,	subsub-3315657,ses1,	subsub-3808535,ses2,	sub3315657,ses2,	subsub-4176156,ses2,	subsub-0021018,ses1,	sub1961098,ses2,	subsub-0021001,ses1,	subsub-3313349,ses2,	subsub-3808535,ses1,	sub3315657,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	sub1961098,ses1,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-4288245,ses1,	subsub-3201815,ses2,	sub2842950,ses1,	subsub-3795193,ses2,	subsub-4288245,ses2,	subsub-3201815,ses1,	sub2842950,ses2,	subsub-3795193,ses1,	sub9630905,ses1,	subsub-0021002,ses1,	subsub-0021024,ses2,	sub7055197,ses1,	sub9630905,ses2,	subsub-0021024,ses1,	subsub-0021002,ses2,	sub7055197,ses2,	sub2799329,ses1,	sub2475376,ses1,	sub1793622,ses2,	subsub-0021006,ses2,	sub8735778,ses1,	sub2799329,ses2,	sub2475376,ses2,	subsub-0021006,ses1,	sub1793622,ses1,	sub8735778,ses2,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	8,1,	3,2,	0,0,	0,0,	3,2,	0,0,	0,0,	1,1,	0,0,	0,0,	0,0,	0,0,	4,1,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	4,1,	0,0,	0,0,	0,0,	0,0,	1,1,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	3,2,	8,1,	0,0,	0,0,	0,0,	3,2,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	7,1,	0,0,	0,0,	0,0,	2,1,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	7,1,	0,0,	0,0,	0,0,	2,1,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	4,1,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	4,1,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,		0,0,	0,0,	0,0,	3,1,	0,0,	0,0,		0,0,		0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,			0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,		0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	3,1,	0,0,	0,0,		0,0,		0,0,	0,0,		0,0,	0,0,		0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,			0,0,			0,0,	0,0,		0,0,	0,0,		2,2,	0,0,	0,0,		0,0,		0,0,	0,0,	0,0,	0,0,		0,0,	0,0,		0,0,	0,0,		0,0,			0,0,	0,0,		0,0,		0,0,	0,0,	0,0,		0,0,		0,0,		0,0,	0,0,	0,0,	0,0,	2,2,		0,0,		0,0,		0,0,			0,0,	0,0,		0,0,	0,0,	0,0,			0,0,	0,0,			0,0,	0,0,	0,0,
	0,0,	0,0,		0,0,	0,0,	0,0,				0,0,				0,0,			0,0,		0,0,	0,0,	0,0,		0,0,		0,0,	0,0,	0,0,	0,0,		0,0,	0,0,		0,0,	0,0,					0,0,	0,0,		0,0,		0,0,	0,0,	0,0,		0,0,				0,0,	0,0,	0,0,	0,0,	0,0,		0,0,		0,0,					0,0,	0,0,			0,0,	0,0,			0,0,	0,0,			0,0,	0,0,	
	0,0,	0,0,		0,0,	0,0,					0,0,				0,0,			0,0,		0,0,	0,0,			0,0,		0,0,	0,0,		0,0,		0,0,	0,0,		0,0,	0,0,						0,0,		0,0,		0,0,	0,0,							0,0,	0,0,		0,0,	0,0,		0,0,		0,0,					0,0,	0,0,			0,0,	0,0,			0,0,	0,0,			0,0,		
	0,0,													0,0,					0,0,	0,0,			0,0,		0,0,	0,0,					0,0,			0,0,						0,0,					0,0,								0,0,		0,0,	0,0,		0,0,		0,0,									0,0,				0,0,						
																			0,0,	0,0,			0,0,			0,0,					0,0,									0,0,					0,0,										0,0,	0,0,				0,0,																			
																			0,0,				0,0,																																	0,0,				0,0,																			
																			0,0,																																					0,0,																							
																			0,0,																																					0,0,																							
																			0,0,																																					0,0,																							
