subsub-1793622,ses2,	sub0021006,ses2,	subsub-8735778,ses1,	subsub-2475376,ses1,	subsub-2799329,ses1,	sub0021006,ses1,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-2475376,ses2,	subsub-2799329,ses2,	subsub-7055197,ses1,	sub0021002,ses1,	sub0021024,ses2,	subsub-9630905,ses1,	subsub-7055197,ses2,	sub0021024,ses1,	sub0021002,ses2,	subsub-9630905,ses2,	sub3795193,ses2,	subsub-2842950,ses1,	sub3201815,ses2,	sub4288245,ses1,	sub3795193,ses1,	subsub-2842950,ses2,	sub3201815,ses1,	sub4288245,ses2,	sub0021001,ses1,	sub3313349,ses2,	subsub-1961098,ses2,	sub0021018,ses1,	sub4176156,ses2,	sub3808535,ses2,	subsub-3315657,ses2,	sub3313349,ses1,	sub0021001,ses2,	subsub-1961098,ses1,	sub0021018,ses2,	sub4176156,ses1,	sub3808535,ses1,	subsub-3315657,ses1,	subsub-3808535,ses2,	sub3315657,ses2,	subsub-4176156,ses2,	subsub-0021018,ses1,	sub1961098,ses2,	subsub-0021001,ses1,	subsub-3313349,ses2,	subsub-3808535,ses1,	sub3315657,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	sub1961098,ses1,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-4288245,ses1,	subsub-3201815,ses2,	sub2842950,ses1,	subsub-3795193,ses2,	subsub-4288245,ses2,	subsub-3201815,ses1,	sub2842950,ses2,	subsub-3795193,ses1,	sub9630905,ses1,	subsub-0021002,ses1,	subsub-0021024,ses2,	sub7055197,ses1,	sub9630905,ses2,	subsub-0021024,ses1,	subsub-0021002,ses2,	sub7055197,ses2,	sub2799329,ses1,	sub2475376,ses1,	sub1793622,ses2,	subsub-0021006,ses2,	sub8735778,ses1,	sub2799329,ses2,	sub2475376,ses2,	subsub-0021006,ses1,	sub1793622,ses1,	sub8735778,ses2,
31,1,	38,2,	36,2,	34,2,	36,1,	34,1,	35,1,	34,3,	34,2,	34,2,	35,1,	31,2,	30,1,	35,2,	36,1,	30,1,	35,1,	37,1,	31,3,	41,2,	41,1,	33,4,	32,2,	40,2,	34,1,	39,2,	40,3,	36,1,	36,1,	34,1,	32,1,	40,1,	31,1,	37,1,	34,1,	32,1,	36,1,	28,2,	29,3,	32,1,	40,1,	31,1,	32,1,	34,1,	36,1,	40,3,	36,1,	29,3,	32,1,	28,2,	36,1,	32,1,	37,1,	34,1,	33,4,	41,1,	41,2,	31,3,	39,2,	34,1,	40,2,	32,2,	35,2,	31,2,	30,1,	35,1,	37,1,	30,1,	35,1,	36,1,	36,1,	34,2,	31,1,	38,2,	36,2,	34,2,	34,2,	34,1,	35,1,	34,3,
30,1,	36,1,	35,1,	33,3,	35,3,	33,3,	31,1,	33,1,	32,1,	32,1,	34,1,	30,1,	28,2,	31,1,	35,1,	28,2,	33,1,	35,2,	30,1,	40,2,	40,2,	32,1,	30,1,	39,1,	32,1,	38,1,	39,4,	35,2,	35,1,	33,2,	31,2,	39,1,	30,1,	36,1,	33,1,	31,3,	35,2,	27,3,	28,1,	30,3,	39,1,	30,1,	31,2,	33,2,	35,1,	39,4,	35,2,	28,1,	30,3,	27,3,	35,2,	31,3,	36,1,	33,1,	32,1,	40,2,	40,2,	30,1,	38,1,	32,1,	39,1,	30,1,	31,1,	30,1,	28,2,	34,1,	35,2,	28,2,	33,1,	35,1,	35,3,	33,3,	30,1,	36,1,	35,1,	32,1,	32,1,	33,3,	31,1,	33,1,
28,1,	35,2,	34,2,	30,1,	33,1,	32,1,	29,2,	32,4,	31,1,	31,1,	33,2,	29,1,	26,2,	30,1,	34,1,	27,1,	32,1,	34,1,	29,2,	39,2,	35,1,	30,1,	29,1,	38,2,	31,1,	33,1,	38,3,	33,2,	34,2,	32,1,	30,1,	35,2,	29,2,	34,1,	32,3,	30,2,	34,1,	26,4,	27,2,	29,2,	35,2,	29,2,	30,1,	32,1,	34,2,	38,3,	33,2,	27,2,	29,2,	26,4,	34,1,	30,2,	34,1,	32,3,	30,1,	35,1,	39,2,	29,2,	33,1,	31,1,	38,2,	29,1,	30,1,	29,1,	26,2,	33,2,	34,1,	27,1,	32,1,	34,1,	33,1,	30,1,	28,1,	35,2,	34,2,	31,1,	31,1,	32,1,	29,2,	32,4,
27,1,	33,1,	33,2,	29,1,	32,2,	31,2,	28,1,	30,2,	30,3,	30,1,	31,1,	28,1,	25,3,	29,2,	33,1,	26,1,	31,1,	33,2,	28,3,	38,7,	32,1,	29,4,	28,2,	37,3,	30,2,	32,1,	37,4,	31,1,	32,1,	30,6,	29,4,	34,2,	28,2,	32,2,	31,4,	29,1,	33,1,	25,5,	26,4,	28,2,	34,2,	28,2,	29,4,	30,6,	32,1,	37,4,	31,1,	26,4,	28,2,	25,5,	33,1,	29,1,	32,2,	31,4,	29,4,	32,1,	38,7,	28,3,	32,1,	30,2,	37,3,	28,2,	29,2,	28,1,	25,3,	31,1,	33,2,	26,1,	31,1,	33,1,	32,2,	29,1,	27,1,	33,1,	33,2,	30,1,	30,3,	31,2,	28,1,	30,2,
26,1,	32,1,	32,5,	28,6,	30,3,	30,1,	27,2,	28,2,	28,2,	29,2,	30,1,	27,2,	23,6,	28,1,	32,2,	25,1,	30,4,	31,2,	27,5,	37,2,	30,1,	28,1,	26,2,	36,6,	27,3,	31,4,	36,3,	30,2,	31,1,	29,2,	28,1,	33,1,	26,2,	31,2,	30,2,	28,5,	30,1,	24,1,	25,3,	27,3,	33,1,	26,2,	28,1,	29,2,	31,1,	36,3,	30,2,	25,3,	27,3,	24,1,	30,1,	28,5,	31,2,	30,2,	28,1,	30,1,	37,2,	27,5,	31,4,	27,3,	36,6,	26,2,	28,1,	27,2,	23,6,	30,1,	31,2,	25,1,	30,4,	32,2,	30,3,	28,6,	26,1,	32,1,	32,5,	29,2,	28,2,	30,1,	27,2,	28,2,
25,4,	31,2,	31,2,	27,4,	29,1,	29,1,	26,1,	26,1,	27,3,	27,1,	29,8,	26,2,	22,7,	27,3,	31,1,	24,2,	28,1,	29,2,	26,3,	36,2,	29,2,	27,1,	25,2,	35,2,	26,4,	30,1,	34,2,	28,4,	29,2,	28,2,	27,2,	32,1,	25,3,	30,1,	29,1,	27,4,	28,4,	23,2,	24,1,	26,1,	32,1,	25,3,	27,2,	28,2,	29,2,	34,2,	28,4,	24,1,	26,1,	23,2,	28,4,	27,4,	30,1,	29,1,	27,1,	29,2,	36,2,	26,3,	30,1,	26,4,	35,2,	25,2,	27,3,	26,2,	22,7,	29,8,	29,2,	24,2,	28,1,	31,1,	29,1,	27,4,	25,4,	31,2,	31,2,	27,1,	27,3,	29,1,	26,1,	26,1,
23,4,	30,1,	30,2,	25,3,	28,1,	28,3,	24,3,	25,2,	26,3,	25,5,	27,2,	25,5,	21,5,	26,2,	30,3,	23,7,	27,1,	28,2,	25,4,	34,2,	28,2,	26,4,	24,4,	34,2,	25,4,	29,1,	33,2,	27,2,	27,3,	27,3,	26,1,	31,3,	24,2,	29,1,	28,2,	26,1,	27,1,	22,6,	23,2,	25,1,	31,3,	24,2,	26,1,	27,3,	27,3,	33,2,	27,2,	23,2,	25,1,	22,6,	27,1,	26,1,	29,1,	28,2,	26,4,	28,2,	34,2,	25,4,	29,1,	25,4,	34,2,	24,4,	26,2,	25,5,	21,5,	27,2,	28,2,	23,7,	27,1,	30,3,	28,1,	25,3,	23,4,	30,1,	30,2,	25,5,	26,3,	28,3,	24,3,	25,2,
22,3,	29,3,	29,2,	24,3,	27,2,	27,2,	23,3,	23,3,	25,3,	24,3,	26,1,	24,6,	20,5,	25,3,	29,2,	22,3,	26,5,	27,1,	24,3,	33,1,	27,5,	25,1,	23,6,	33,2,	24,6,	28,4,	30,1,	26,2,	26,5,	26,6,	25,3,	28,6,	23,4,	28,2,	27,4,	25,1,	26,1,	21,1,	22,1,	24,4,	28,6,	23,4,	25,3,	26,6,	26,5,	30,1,	26,2,	22,1,	24,4,	21,1,	26,1,	25,1,	28,2,	27,4,	25,1,	27,5,	33,1,	24,3,	28,4,	24,6,	33,2,	23,6,	25,3,	24,6,	20,5,	26,1,	27,1,	22,3,	26,5,	29,2,	27,2,	24,3,	22,3,	29,3,	29,2,	24,3,	25,3,	27,2,	23,3,	23,3,
21,7,	28,2,	27,1,	23,3,	25,4,	26,3,	22,4,	22,4,	24,4,	23,2,	25,2,	23,2,	19,2,	24,5,	28,1,	21,4,	25,4,	26,3,	23,2,	32,2,	26,4,	24,4,	22,5,	32,2,	23,6,	27,1,	27,1,	25,6,	25,4,	25,2,	24,2,	27,2,	22,1,	27,4,	26,1,	24,4,	25,5,	20,2,	21,5,	23,1,	27,2,	22,1,	24,2,	25,2,	25,4,	27,1,	25,6,	21,5,	23,1,	20,2,	25,5,	24,4,	27,4,	26,1,	24,4,	26,4,	32,2,	23,2,	27,1,	23,6,	32,2,	22,5,	24,5,	23,2,	19,2,	25,2,	26,3,	21,4,	25,4,	28,1,	25,4,	23,3,	21,7,	28,2,	27,1,	23,2,	24,4,	26,3,	22,4,	22,4,
20,4,	27,3,	26,1,	22,4,	24,2,	25,2,	21,4,	21,3,	23,2,	22,10,	24,2,	22,10,	18,5,	22,3,	27,2,	20,6,	24,3,	25,6,	22,3,	30,2,	25,3,	23,2,	21,8,	31,1,	22,4,	25,1,	26,3,	24,4,	24,4,	24,6,	23,6,	26,3,	21,3,	26,3,	25,1,	23,1,	24,5,	19,6,	20,2,	22,2,	26,3,	21,3,	23,6,	24,6,	24,4,	26,3,	24,4,	20,2,	22,2,	19,6,	24,5,	23,1,	26,3,	25,1,	23,2,	25,3,	30,2,	22,3,	25,1,	22,4,	31,1,	21,8,	22,3,	22,10,	18,5,	24,2,	25,6,	20,6,	24,3,	27,2,	24,2,	22,4,	20,4,	27,3,	26,1,	22,10,	23,2,	25,2,	21,4,	21,3,
19,5,	26,1,	25,1,	21,1,	23,3,	23,3,	20,6,	20,4,	22,3,	21,3,	23,4,	21,2,	15,1,	21,6,	24,3,	19,7,	23,5,	24,1,	21,3,	28,2,	24,5,	21,5,	20,6,	30,2,	21,6,	24,6,	25,1,	23,6,	23,2,	23,4,	22,1,	25,2,	20,6,	25,4,	24,1,	21,1,	23,10,	18,4,	19,4,	21,9,	25,2,	20,6,	22,1,	23,4,	23,2,	25,1,	23,6,	19,4,	21,9,	18,4,	23,10,	21,1,	25,4,	24,1,	21,5,	24,5,	28,2,	21,3,	24,6,	21,6,	30,2,	20,6,	21,6,	21,2,	15,1,	23,4,	24,1,	19,7,	23,5,	24,3,	23,3,	21,1,	19,5,	26,1,	25,1,	21,3,	22,3,	23,3,	20,6,	20,4,
18,2,	25,5,	24,1,	20,3,	22,6,	22,3,	19,4,	19,1,	21,4,	20,5,	22,4,	20,6,	14,4,	20,6,	23,3,	18,2,	22,5,	23,7,	20,6,	27,1,	23,3,	20,4,	19,1,	29,1,	20,4,	22,3,	24,1,	22,2,	22,2,	22,4,	21,4,	24,2,	19,5,	24,2,	23,5,	20,2,	22,6,	17,3,	18,6,	20,3,	24,2,	19,5,	21,4,	22,4,	22,2,	24,1,	22,2,	18,6,	20,3,	17,3,	22,6,	20,2,	24,2,	23,5,	20,4,	23,3,	27,1,	20,6,	22,3,	20,4,	29,1,	19,1,	20,6,	20,6,	14,4,	22,4,	23,7,	18,2,	22,5,	23,3,	22,6,	20,3,	18,2,	25,5,	24,1,	20,5,	21,4,	22,3,	19,4,	19,1,
17,4,	24,3,	23,3,	19,3,	21,6,	21,3,	18,3,	18,2,	20,1,	19,4,	21,2,	19,3,	13,1,	19,1,	22,3,	15,1,	21,5,	22,4,	19,2,	25,1,	22,5,	19,2,	18,3,	27,1,	18,2,	21,7,	23,1,	21,2,	21,3,	21,4,	20,1,	23,2,	18,3,	23,4,	21,2,	19,1,	21,2,	16,4,	17,4,	19,4,	23,2,	18,3,	20,1,	21,4,	21,3,	23,1,	21,2,	17,4,	19,4,	16,4,	21,2,	19,1,	23,4,	21,2,	19,2,	22,5,	25,1,	19,2,	21,7,	18,2,	27,1,	18,3,	19,1,	19,3,	13,1,	21,2,	22,4,	15,1,	21,5,	22,3,	21,6,	19,3,	17,4,	24,3,	23,3,	19,4,	20,1,	21,3,	18,3,	18,2,
16,2,	23,1,	22,4,	18,3,	20,3,	20,2,	17,1,	17,1,	19,1,	18,2,	20,2,	18,1,	12,2,	18,5,	21,2,	14,1,	20,4,	21,2,	18,2,	24,1,	21,1,	18,4,	16,2,	26,2,	17,1,	20,3,	22,4,	20,3,	20,7,	20,1,	19,4,	22,3,	17,3,	22,3,	20,3,	18,3,	20,6,	15,3,	16,2,	18,4,	22,3,	17,3,	19,4,	20,1,	20,7,	22,4,	20,3,	16,2,	18,4,	15,3,	20,6,	18,3,	22,3,	20,3,	18,4,	21,1,	24,1,	18,2,	20,3,	17,1,	26,2,	16,2,	18,5,	18,1,	12,2,	20,2,	21,2,	14,1,	20,4,	21,2,	20,3,	18,3,	16,2,	23,1,	22,4,	18,2,	19,1,	20,2,	17,1,	17,1,
15,1,	22,5,	21,1,	17,1,	19,3,	19,5,	16,5,	16,2,	18,4,	16,1,	19,1,	17,1,	10,3,	17,1,	20,2,	13,3,	19,2,	20,4,	17,4,	23,2,	20,2,	17,3,	15,3,	25,2,	16,1,	19,5,	21,1,	19,1,	19,1,	19,2,	18,6,	21,3,	16,2,	21,3,	19,1,	17,1,	19,2,	14,4,	15,2,	17,2,	21,3,	16,2,	18,6,	19,2,	19,1,	21,1,	19,1,	15,2,	17,2,	14,4,	19,2,	17,1,	21,3,	19,1,	17,3,	20,2,	23,2,	17,4,	19,5,	16,1,	25,2,	15,3,	17,1,	17,1,	10,3,	19,1,	20,4,	13,3,	19,2,	20,2,	19,3,	17,1,	15,1,	22,5,	21,1,	16,1,	18,4,	19,5,	16,5,	16,2,
14,5,	21,1,	20,3,	16,1,	18,2,	18,2,	15,4,	15,3,	17,1,	15,3,	18,3,	14,1,	9,3,	16,2,	19,2,	12,4,	18,3,	18,1,	16,1,	22,3,	19,4,	16,1,	14,1,	24,4,	12,1,	18,4,	20,1,	17,3,	18,1,	17,1,	17,2,	20,2,	15,4,	20,3,	18,1,	16,8,	15,1,	12,1,	14,6,	16,4,	20,2,	15,4,	17,2,	17,1,	18,1,	20,1,	17,3,	14,6,	16,4,	12,1,	15,1,	16,8,	20,3,	18,1,	16,1,	19,4,	22,3,	16,1,	18,4,	12,1,	24,4,	14,1,	16,2,	14,1,	9,3,	18,3,	18,1,	12,4,	18,3,	19,2,	18,2,	16,1,	14,5,	21,1,	20,3,	15,3,	17,1,	18,2,	15,4,	15,3,
13,1,	20,2,	18,4,	15,2,	16,1,	17,2,	13,3,	14,1,	16,3,	14,1,	17,3,	12,1,	7,1,	15,1,	18,3,	11,3,	17,1,	17,3,	14,1,	21,2,	18,1,	15,2,	12,1,	23,2,	11,1,	15,1,	19,2,	16,1,	17,1,	12,1,	16,4,	19,3,	14,3,	19,2,	17,2,	14,1,	14,1,	11,1,	12,1,	15,2,	19,3,	14,3,	16,4,	12,1,	17,1,	19,2,	16,1,	12,1,	15,2,	11,1,	14,1,	14,1,	19,2,	17,2,	15,2,	18,1,	21,2,	14,1,	15,1,	11,1,	23,2,	12,1,	15,1,	12,1,	7,1,	17,3,	17,3,	11,3,	17,1,	18,3,	16,1,	15,2,	13,1,	20,2,	18,4,	14,1,	16,3,	17,2,	13,3,	14,1,
12,4,	19,2,	17,3,	14,1,	15,3,	16,2,	12,1,	13,4,	15,2,	13,2,	16,1,	11,1,	6,1,	13,1,	17,2,	10,1,	15,1,	16,1,	13,2,	20,2,	17,3,	14,1,	10,3,	22,6,	10,1,	14,3,	18,2,	15,2,	16,3,	9,1,	15,3,	18,1,	12,2,	17,2,	16,2,	13,4,	10,1,	8,1,	11,2,	12,1,	18,1,	12,2,	15,3,	9,1,	16,3,	18,2,	15,2,	11,2,	12,1,	8,1,	10,1,	13,4,	17,2,	16,2,	14,1,	17,3,	20,2,	13,2,	14,3,	10,1,	22,6,	10,3,	13,1,	11,1,	6,1,	16,1,	16,1,	10,1,	15,1,	17,2,	15,3,	14,1,	12,4,	19,2,	17,3,	13,2,	15,2,	16,2,	12,1,	13,4,
