subsub-1793622,ses2,	subsub-8735778,ses1,	subsub-3201815,ses2,	subsub-4288245,ses1,	subsub-2475376,ses1,	subsub-2799329,ses1,	subsub-3795193,ses2,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-3201815,ses1,	subsub-4288245,ses2,	subsub-2475376,ses2,	subsub-2799329,ses2,	subsub-3795193,ses1,	subsub-4176156,ses2,	subsub-0021018,ses1,	subsub-7055197,ses1,	subsub-3808535,ses2,	subsub-3313349,ses2,	subsub-0021001,ses1,	subsub-9630905,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	subsub-7055197,ses2,	subsub-3808535,ses1,	subsub-0021001,ses2,	subsub-3313349,ses1,	subsub-9630905,ses2,	subsub-2842950,ses1,	subsub-0021006,ses2,	subsub-2842950,ses2,	subsub-0021006,ses1,	subsub-0021024,ses2,	subsub-0021002,ses1,	subsub-1961098,ses2,	subsub-3315657,ses2,	subsub-0021002,ses2,	subsub-0021024,ses1,	subsub-1961098,ses1,	subsub-3315657,ses1,	subsub-7055197,ses1,	subsub-3808535,ses2,	subsub-4176156,ses2,	subsub-0021018,ses1,	subsub-9630905,ses1,	subsub-0021001,ses1,	subsub-3313349,ses2,	subsub-7055197,ses2,	subsub-3808535,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	subsub-9630905,ses2,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-4288245,ses1,	subsub-1793622,ses2,	subsub-8735778,ses1,	subsub-3201815,ses2,	subsub-2799329,ses1,	subsub-3795193,ses2,	subsub-2475376,ses1,	subsub-4288245,ses2,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-3201815,ses1,	subsub-2799329,ses2,	subsub-3795193,ses1,	subsub-2475376,ses2,	subsub-0021002,ses1,	subsub-0021024,ses2,	subsub-1961098,ses2,	subsub-3315657,ses2,	subsub-0021024,ses1,	subsub-0021002,ses2,	subsub-1961098,ses1,	subsub-3315657,ses1,	subsub-2842950,ses1,	subsub-0021006,ses2,	subsub-2842950,ses2,	subsub-0021006,ses1,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
48,2,	57,1,	28,1,	21,1,	56,1,	51,1,	26,1,	49,1,	54,1,	25,1,	26,1,	58,1,	49,1,	23,1,	25,1,	31,1,	54,1,	22,1,	24,2,	27,1,	55,1,	24,1,	30,1,	52,1,	20,1,	20,2,	25,1,	56,1,	57,1,	22,1,	59,1,	22,1,	22,1,	22,1,	53,1,	53,1,	22,1,	20,1,	50,2,	54,1,	23,1,	58,1,	52,1,	54,2,	22,1,	59,1,	54,1,	24,1,	54,1,	50,1,	54,1,	25,1,	54,1,	52,2,	53,1,	20,1,	26,1,	56,1,	24,1,	51,1,	25,1,	56,1,	20,1,	26,1,	54,1,	23,1,	50,1,	26,1,	50,1,	48,1,	25,1,	21,1,	48,1,	51,1,	23,1,	25,1,	26,1,	61,1,	28,1,	57,1,
47,1,	52,1,	22,1,	20,1,	51,1,	48,1,	19,1,	48,1,	52,1,	21,1,	19,1,	47,2,	47,1,	20,1,	17,2,	22,1,	53,1,	21,1,	17,3,	24,1,	50,1,	20,1,	19,2,	51,1,	19,1,	16,1,	21,1,	49,1,	54,1,	18,3,	58,1,	18,1,	16,1,	18,1,	51,1,	50,1,	19,1,	16,1,	44,4,	52,1,	22,1,	57,1,	51,1,	48,1,	17,1,	57,1,	50,1,	19,1,	48,1,	49,1,	53,1,	18,1,	49,1,	51,1,	52,1,	17,1,	19,1,	55,1,	19,1,	49,1,	23,1,	51,1,	17,1,	19,2,	50,1,	19,1,	48,1,	24,1,	48,1,	46,1,	19,1,	18,1,	47,1,	50,1,	20,1,	18,1,	25,1,	54,1,	27,1,	49,1,
45,1,	48,1,	17,1,	17,1,	45,2,	47,1,	17,2,	46,1,	45,2,	16,1,	16,4,	44,2,	42,1,	15,1,	16,1,	20,1,	45,1,	14,1,	16,2,	19,1,	45,1,	15,1,	16,1,	46,1,	13,1,	14,1,	19,1,	46,1,	52,2,	17,1,	55,1,	17,1,	15,1,	17,1,	45,1,	42,1,	18,1,	15,3,	41,2,	49,1,	15,4,	50,1,	46,1,	47,1,	16,2,	53,1,	48,1,	16,2,	47,1,	41,1,	48,1,	17,1,	47,1,	46,1,	48,1,	15,1,	17,1,	52,1,	17,1,	46,1,	18,1,	49,1,	16,1,	16,1,	47,1,	17,1,	45,1,	17,2,	47,2,	43,1,	18,3,	16,3,	43,1,	49,1,	18,2,	15,1,	20,1,	52,1,	19,1,	48,1,
43,1,	45,1,	16,1,	16,2,	43,1,	46,1,	16,2,	44,1,	42,1,	14,3,	15,2,	42,1,	41,2,	14,1,	14,2,	18,1,	44,3,	13,1,	15,1,	17,1,	42,1,	13,1,	15,3,	45,1,	12,2,	13,2,	18,1,	44,1,	51,1,	16,2,	54,1,	16,1,	14,3,	15,2,	43,1,	39,1,	15,1,	14,1,	40,2,	45,1,	14,5,	49,1,	41,1,	46,3,	15,2,	51,1,	47,2,	15,2,	39,2,	40,1,	44,2,	16,1,	46,1,	44,1,	46,2,	14,3,	15,3,	51,1,	16,1,	44,1,	17,1,	48,1,	15,1,	15,2,	46,1,	16,1,	42,1,	15,2,	45,1,	42,1,	16,1,	14,2,	42,1,	46,1,	17,4,	14,3,	18,1,	51,1,	17,2,	47,1,
38,2,	43,2,	15,1,	15,3,	42,1,	43,1,	14,1,	43,1,	41,2,	13,3,	14,3,	40,2,	40,1,	13,3,	13,2,	16,1,	43,2,	12,2,	14,3,	15,2,	41,2,	12,2,	14,1,	42,1,	10,1,	12,3,	15,4,	43,4,	48,1,	15,6,	53,1,	15,4,	13,1,	14,1,	42,2,	38,1,	14,2,	13,1,	39,2,	44,1,	12,1,	46,1,	40,1,	43,3,	14,1,	48,2,	43,2,	14,2,	38,2,	39,1,	43,1,	15,4,	43,1,	41,1,	45,1,	13,2,	13,2,	50,1,	15,2,	42,2,	15,2,	45,1,	14,3,	14,1,	45,1,	15,1,	38,1,	13,3,	42,1,	39,1,	15,2,	12,4,	41,1,	44,1,	16,1,	13,1,	16,1,	48,1,	16,2,	46,1,
36,1,	41,1,	14,5,	14,2,	39,1,	42,2,	13,3,	42,1,	38,3,	12,2,	12,1,	38,1,	39,1,	12,1,	12,1,	15,2,	41,1,	10,3,	13,1,	14,2,	40,1,	11,1,	11,3,	41,2,	9,4,	10,3,	14,2,	42,1,	47,3,	13,1,	49,1,	14,2,	12,1,	13,1,	40,1,	37,2,	12,1,	12,1,	38,1,	38,1,	10,1,	45,2,	37,1,	40,1,	13,4,	46,1,	41,2,	13,2,	34,1,	35,1,	42,1,	14,2,	42,1,	40,1,	40,2,	12,2,	12,2,	47,1,	14,5,	39,2,	13,1,	44,1,	13,2,	13,2,	44,1,	14,2,	37,1,	12,1,	41,1,	36,1,	14,2,	9,2,	38,1,	42,1,	14,2,	12,3,	15,3,	47,1,	14,1,	43,2,
35,1,	40,2,	13,2,	13,3,	38,3,	40,1,	12,2,	41,2,	37,2,	11,1,	9,2,	37,2,	38,2,	10,1,	11,1,	14,2,	40,1,	9,5,	12,1,	13,1,	38,3,	10,3,	9,3,	39,3,	8,3,	9,2,	13,2,	41,1,	46,1,	12,1,	45,2,	13,2,	11,1,	12,1,	39,1,	35,1,	11,2,	10,3,	37,1,	37,2,	7,6,	44,1,	35,1,	38,1,	12,1,	44,2,	40,1,	12,2,	33,1,	33,2,	40,1,	13,1,	41,3,	39,2,	39,1,	11,1,	11,1,	44,1,	12,1,	38,1,	12,2,	43,1,	12,1,	12,3,	42,1,	13,2,	36,1,	11,2,	38,2,	35,2,	13,2,	8,2,	35,1,	41,1,	12,2,	11,1,	14,1,	46,2,	13,2,	41,1,
33,2,	39,2,	10,2,	10,1,	37,2,	39,1,	11,1,	39,1,	36,2,	10,1,	8,2,	36,1,	37,1,	9,3,	10,3,	12,3,	39,1,	8,5,	11,1,	12,5,	37,1,	9,2,	8,4,	38,1,	7,8,	8,6,	11,1,	39,1,	44,1,	9,1,	43,2,	12,1,	10,2,	11,2,	38,3,	34,1,	10,1,	9,2,	34,1,	36,1,	6,10,	42,1,	34,2,	37,1,	10,1,	43,3,	38,1,	11,1,	31,2,	31,1,	39,1,	12,1,	40,2,	36,2,	36,1,	10,1,	10,2,	43,2,	11,2,	35,1,	11,4,	42,1,	11,1,	11,2,	40,3,	12,2,	34,1,	10,4,	34,2,	34,1,	12,2,	7,2,	33,2,	39,1,	11,2,	10,1,	13,3,	45,1,	12,4,	40,1,
