sub0021024,ses2,	sub0021002,ses1,	subsub-1793622,ses2,	subsub-8735778,ses1,	subsub-1961098,ses1,	subsub-3315657,ses1,	subsub-2475376,ses1,	subsub-2799329,ses1,	sub0021002,ses2,	sub0021024,ses1,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-1961098,ses2,	subsub-2475376,ses2,	subsub-3315657,ses2,	subsub-2799329,ses2,	subsub-2842950,ses2,	subsub-7055197,ses1,	sub0021006,ses2,	subsub-9630905,ses1,	subsub-2842950,ses1,	subsub-7055197,ses2,	sub0021006,ses1,	subsub-9630905,ses2,	sub0021018,ses1,	subsub-7055197,ses2,	sub4176156,ses2,	sub3808535,ses2,	subsub-2842950,ses1,	subsub-9630905,ses2,	sub3313349,ses2,	sub0021001,ses1,	sub0021018,ses2,	subsub-7055197,ses1,	sub4176156,ses1,	sub3808535,ses1,	subsub-2842950,ses2,	subsub-9630905,ses1,	sub0021001,ses2,	sub3313349,ses1,	sub3201815,ses2,	subsub-1961098,ses2,	sub4288245,ses1,	subsub-8735778,ses2,	subsub-1793622,ses1,	subsub-2799329,ses2,	subsub-2475376,ses2,	subsub-3315657,ses2,	sub3795193,ses2,	sub3201815,ses1,	subsub-1961098,ses1,	sub4288245,ses2,	subsub-8735778,ses1,	subsub-1793622,ses2,	subsub-2799329,ses1,	subsub-3315657,ses1,	subsub-2475376,ses1,	sub3795193,ses1,	sub2842950,ses1,	subsub-3808535,ses2,	subsub-4176156,ses2,	subsub-0021018,ses1,	subsub-0021006,ses1,	subsub-0021001,ses1,	subsub-3313349,ses2,	sub2842950,ses2,	subsub-3808535,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	subsub-0021006,ses2,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-0021024,ses1,	subsub-4288245,ses1,	subsub-0021002,ses2,	sub1961098,ses2,	subsub-3201815,ses2,	subsub-3795193,ses2,	sub3315657,ses2,	subsub-0021002,ses1,	subsub-0021024,ses2,	subsub-4288245,ses2,	sub1961098,ses1,	subsub-3201815,ses1,	subsub-3795193,ses1,	sub3315657,ses1,	subsub-3201815,ses1,	sub1793622,ses2,	sub8735778,ses1,	subsub-0021002,ses1,	subsub-4288245,ses2,	subsub-0021024,ses2,	sub2799329,ses1,	sub2475376,ses1,	subsub-3795193,ses1,	subsub-3201815,ses2,	sub1793622,ses1,	sub8735778,ses2,	subsub-4288245,ses1,	subsub-0021024,ses1,	subsub-0021002,ses2,	sub2799329,ses2,	sub2475376,ses2,	subsub-3795193,ses2,	subsub-4176156,ses1,	sub7055197,ses1,	subsub-0021018,ses2,	subsub-3808535,ses1,	subsub-3313349,ses1,	subsub-0021001,ses2,	sub9630905,ses1,	subsub-0021006,ses2,	subsub-4176156,ses2,	sub7055197,ses2,	subsub-0021018,ses1,	subsub-3808535,ses2,	subsub-0021001,ses1,	subsub-3313349,ses2,	sub9630905,ses2,	subsub-0021006,ses1,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
30,1,	28,2,	48,2,	57,1,	29,1,	29,1,	56,1,	51,1,	29,1,	28,1,	49,1,	54,1,	29,1,	58,1,	28,1,	49,1,	34,1,	54,1,	31,1,	55,1,	34,1,	52,1,	29,1,	56,1,	36,1,	30,1,	33,1,	30,1,	57,1,	36,1,	30,2,	36,1,	35,1,	31,1,	31,1,	28,1,	59,1,	30,1,	29,1,	29,1,	32,1,	53,1,	31,1,	31,1,	28,1,	29,1,	34,1,	53,1,	32,1,	29,1,	50,2,	32,1,	31,1,	26,1,	30,1,	54,1,	37,1,	29,2,	34,1,	58,1,	52,1,	54,2,	29,1,	59,1,	54,1,	34,1,	54,1,	50,1,	54,1,	31,1,	54,1,	52,2,	28,1,	53,1,	29,1,	29,1,	56,1,	51,1,	28,1,	28,2,	30,1,	56,1,	29,1,	54,1,	50,1,	29,1,	29,1,	26,1,	31,1,	50,1,	32,1,	48,1,	30,1,	37,1,	29,2,	32,1,	28,1,	31,1,	31,1,	48,1,	51,1,	29,1,	34,1,	32,1,	31,1,	31,1,	35,1,	28,1,	29,1,	29,1,	30,1,	61,1,	33,1,	30,1,	36,1,	30,1,	36,1,	30,2,	36,1,	57,1,
24,1,	22,1,	47,1,	52,1,	28,1,	25,1,	51,1,	48,1,	27,1,	24,1,	48,1,	52,1,	25,1,	47,2,	23,1,	47,1,	32,1,	53,1,	27,1,	50,1,	31,1,	51,1,	25,1,	49,1,	29,1,	25,1,	27,1,	28,1,	54,1,	24,1,	24,1,	32,1,	29,1,	28,1,	28,1,	24,1,	58,1,	20,2,	27,1,	27,1,	26,1,	51,1,	29,1,	27,1,	26,1,	25,1,	31,1,	50,1,	24,1,	25,1,	44,4,	27,1,	27,1,	23,1,	26,1,	52,1,	30,1,	18,2,	31,1,	57,1,	51,1,	48,1,	25,1,	57,1,	50,1,	32,1,	48,1,	49,1,	53,1,	27,1,	49,1,	51,1,	24,1,	52,1,	27,1,	25,1,	55,1,	49,1,	23,1,	22,1,	24,1,	51,1,	28,1,	50,1,	48,1,	25,1,	25,1,	23,1,	27,1,	48,1,	27,1,	46,1,	26,1,	30,1,	18,2,	26,1,	26,1,	27,1,	29,1,	47,1,	50,1,	25,1,	31,1,	24,1,	28,1,	28,1,	29,1,	24,1,	27,1,	27,1,	20,2,	54,1,	27,1,	25,1,	29,1,	28,1,	32,1,	24,1,	24,1,	49,1,
18,3,	21,1,	45,1,	48,1,	25,1,	20,1,	45,2,	47,1,	22,1,	18,2,	46,1,	45,2,	23,1,	44,2,	20,1,	42,1,	23,3,	45,1,	25,1,	45,1,	24,1,	46,1,	20,3,	46,1,	24,1,	19,2,	21,1,	18,1,	52,2,	22,2,	21,2,	28,1,	21,2,	20,2,	18,2,	17,1,	55,1,	19,2,	21,1,	22,2,	24,1,	45,1,	22,1,	24,1,	21,1,	24,1,	21,2,	42,1,	23,1,	19,1,	41,2,	23,1,	22,1,	20,1,	25,1,	49,1,	23,1,	16,3,	24,1,	50,1,	46,1,	47,1,	20,3,	53,1,	48,1,	23,3,	47,1,	41,1,	48,1,	25,1,	47,1,	46,1,	18,2,	48,1,	22,1,	23,1,	52,1,	46,1,	20,1,	21,1,	18,3,	49,1,	25,1,	47,1,	45,1,	20,1,	19,1,	20,1,	22,1,	47,2,	23,1,	43,1,	25,1,	23,1,	16,3,	24,1,	21,1,	24,1,	22,1,	43,1,	49,1,	24,1,	21,2,	23,1,	18,2,	20,2,	21,2,	17,1,	22,2,	21,1,	19,2,	52,1,	21,1,	19,2,	24,1,	18,1,	28,1,	21,2,	22,2,	48,1,
17,1,	20,1,	43,1,	45,1,	22,1,	19,1,	43,1,	46,1,	19,1,	17,1,	44,1,	42,1,	22,1,	42,1,	18,3,	41,2,	20,2,	44,3,	22,1,	42,1,	22,1,	45,1,	19,3,	44,1,	23,1,	18,1,	20,1,	17,1,	51,1,	21,1,	20,1,	23,2,	20,3,	19,1,	16,1,	15,1,	54,1,	18,3,	18,2,	21,1,	23,1,	43,1,	18,4,	21,3,	18,3,	19,1,	20,2,	39,1,	22,1,	18,4,	40,2,	19,3,	21,1,	19,1,	18,4,	45,1,	22,1,	15,2,	22,1,	49,1,	41,1,	46,3,	19,3,	51,1,	47,2,	20,2,	39,2,	40,1,	44,2,	22,1,	46,1,	44,1,	17,1,	46,2,	19,1,	22,1,	51,1,	44,1,	18,3,	20,1,	17,1,	48,1,	22,1,	46,1,	42,1,	19,1,	18,4,	19,1,	21,1,	45,1,	19,3,	42,1,	18,4,	22,1,	15,2,	23,1,	18,3,	21,3,	18,4,	42,1,	46,1,	19,1,	20,2,	22,1,	16,1,	19,1,	20,3,	15,1,	21,1,	18,2,	18,3,	51,1,	20,1,	18,1,	23,1,	17,1,	23,2,	20,1,	21,1,	47,1,
16,1,	18,1,	38,2,	43,2,	21,1,	18,2,	42,1,	43,1,	18,2,	16,2,	43,1,	41,2,	20,3,	40,2,	17,2,	40,1,	18,3,	43,2,	20,2,	41,2,	20,2,	42,1,	18,2,	43,4,	22,1,	17,2,	17,1,	16,1,	48,1,	19,1,	19,3,	19,2,	19,1,	18,3,	14,3,	14,2,	53,1,	15,4,	16,1,	20,2,	22,1,	42,2,	17,3,	16,2,	16,4,	17,2,	18,1,	38,1,	21,1,	17,3,	39,2,	18,1,	19,1,	17,1,	16,3,	44,1,	21,1,	13,2,	20,2,	46,1,	40,1,	43,3,	18,2,	48,2,	43,2,	18,3,	38,2,	39,1,	43,1,	20,2,	43,1,	41,1,	16,2,	45,1,	18,2,	20,3,	50,1,	42,2,	17,2,	18,1,	16,1,	45,1,	21,1,	45,1,	38,1,	18,2,	17,3,	17,1,	19,1,	42,1,	18,1,	39,1,	16,3,	21,1,	13,2,	22,1,	16,4,	16,2,	17,3,	41,1,	44,1,	17,2,	18,1,	21,1,	14,3,	18,3,	19,1,	14,2,	20,2,	16,1,	15,4,	48,1,	17,1,	17,2,	22,1,	16,1,	19,2,	19,3,	19,1,	46,1,
13,1,	15,1,	36,1,	41,1,	20,2,	17,1,	39,1,	42,2,	16,1,	14,1,	42,1,	38,3,	19,2,	38,1,	16,2,	39,1,	17,3,	41,1,	19,3,	40,1,	19,4,	41,2,	17,1,	42,1,	21,1,	16,3,	16,1,	14,4,	47,3,	18,2,	17,2,	18,4,	18,1,	17,1,	13,1,	13,2,	49,1,	13,2,	15,2,	19,1,	19,1,	40,1,	16,2,	15,5,	15,1,	16,4,	17,2,	37,2,	20,1,	16,1,	38,1,	17,2,	18,1,	16,4,	15,3,	38,1,	18,1,	12,3,	19,4,	45,2,	37,1,	40,1,	17,1,	46,1,	41,2,	17,3,	34,1,	35,1,	42,1,	19,3,	42,1,	40,1,	14,1,	40,2,	16,1,	19,2,	47,1,	39,2,	16,2,	15,1,	13,1,	44,1,	20,2,	44,1,	37,1,	17,1,	16,1,	16,4,	18,1,	41,1,	17,2,	36,1,	15,3,	18,1,	12,3,	19,1,	15,1,	15,5,	16,2,	38,1,	42,1,	16,4,	17,2,	20,1,	13,1,	17,1,	18,1,	13,2,	19,1,	15,2,	13,2,	47,1,	16,1,	16,3,	21,1,	14,4,	18,4,	17,2,	18,2,	43,2,
12,5,	14,3,	35,1,	40,2,	18,4,	16,2,	38,3,	40,1,	14,3,	13,1,	41,2,	37,2,	18,2,	37,2,	15,1,	38,2,	16,1,	40,1,	18,4,	38,3,	18,1,	39,3,	16,1,	41,1,	18,4,	15,2,	15,4,	13,4,	46,1,	17,3,	16,2,	17,2,	17,2,	16,1,	12,4,	12,2,	45,2,	12,2,	14,4,	17,2,	18,5,	39,1,	15,1,	14,2,	13,1,	15,1,	16,2,	35,1,	19,2,	15,2,	37,1,	16,2,	16,2,	15,2,	14,1,	37,2,	17,1,	11,2,	18,1,	44,1,	35,1,	38,1,	16,1,	44,2,	40,1,	16,1,	33,1,	33,2,	40,1,	18,4,	41,3,	39,2,	13,1,	39,1,	14,3,	18,2,	44,1,	38,1,	15,1,	14,3,	12,5,	43,1,	18,4,	42,1,	36,1,	16,2,	15,2,	15,2,	16,2,	38,2,	16,2,	35,2,	14,1,	17,1,	11,2,	18,5,	13,1,	14,2,	15,1,	35,1,	41,1,	15,1,	16,2,	19,2,	12,4,	16,1,	17,2,	12,2,	17,2,	14,4,	12,2,	46,2,	15,4,	15,2,	18,4,	13,4,	17,2,	16,2,	17,3,	41,1,
11,2,	13,2,	33,2,	39,2,	17,2,	15,1,	37,2,	39,1,	13,2,	12,3,	39,1,	36,2,	17,2,	36,1,	13,3,	37,1,	15,1,	39,1,	17,1,	37,1,	17,2,	38,1,	15,3,	39,1,	17,3,	14,3,	14,1,	12,2,	44,1,	14,2,	15,1,	16,3,	15,1,	15,1,	11,3,	11,5,	43,2,	11,1,	13,4,	16,1,	17,1,	38,3,	14,1,	13,1,	11,1,	14,2,	15,1,	34,1,	18,1,	13,5,	34,1,	15,2,	15,5,	13,1,	13,1,	36,1,	16,1,	10,5,	17,2,	42,1,	34,2,	37,1,	15,3,	43,3,	38,1,	15,1,	31,2,	31,1,	39,1,	17,1,	40,2,	36,2,	12,3,	36,1,	13,2,	17,2,	43,2,	35,1,	13,3,	13,2,	11,2,	42,1,	17,2,	40,3,	34,1,	15,1,	13,5,	13,1,	15,5,	34,2,	15,2,	34,1,	13,1,	16,1,	10,5,	17,1,	11,1,	13,1,	14,1,	33,2,	39,1,	14,2,	15,1,	18,1,	11,3,	15,1,	15,1,	11,5,	16,1,	13,4,	11,1,	45,1,	14,1,	14,3,	17,3,	12,2,	16,3,	15,1,	14,2,	40,1,
10,3,	11,4,	32,1,	38,1,	15,1,	13,3,	36,1,	38,1,	11,3,	11,3,	36,2,	35,2,	15,1,	35,3,	11,1,	35,2,	14,1,	38,2,	16,2,	36,1,	16,2,	37,1,	11,3,	38,1,	15,2,	13,2,	13,3,	11,3,	43,2,	13,2,	14,1,	15,6,	14,2,	14,3,	10,2,	10,3,	41,1,	10,3,	12,3,	15,1,	16,1,	37,1,	11,3,	12,3,	10,3,	13,1,	14,3,	33,3,	17,1,	12,1,	33,1,	14,1,	14,3,	12,1,	11,4,	34,2,	15,1,	9,5,	16,2,	41,1,	33,2,	35,1,	11,3,	42,2,	37,1,	14,1,	30,1,	30,1,	37,2,	16,2,	39,1,	35,1,	11,3,	34,1,	11,3,	15,1,	42,1,	34,1,	11,1,	11,4,	10,3,	41,1,	15,1,	38,1,	33,3,	13,3,	12,1,	12,1,	14,3,	32,1,	14,1,	33,2,	11,4,	15,1,	9,5,	16,1,	10,3,	12,3,	11,3,	32,2,	36,1,	13,1,	14,3,	17,1,	10,2,	14,3,	14,2,	10,3,	15,1,	12,3,	10,3,	40,2,	13,3,	13,2,	15,2,	11,3,	15,6,	14,1,	13,2,	38,2,
9,3,	10,4,	31,1,	36,2,	14,3,	12,1,	34,2,	36,1,	10,4,	10,3,	35,1,	34,3,	13,3,	34,2,	10,1,	34,2,	13,3,	35,1,	12,1,	35,2,	15,1,	36,1,	10,2,	37,1,	14,3,	12,1,	12,3,	10,7,	41,2,	12,2,	12,3,	14,2,	13,3,	13,2,	9,3,	9,5,	40,2,	9,2,	11,4,	14,2,	14,2,	36,1,	10,4,	11,3,	9,3,	12,3,	13,2,	31,1,	15,2,	10,4,	32,1,	12,2,	13,2,	10,2,	10,4,	32,1,	14,5,	8,6,	15,1,	40,1,	32,1,	34,1,	10,2,	40,3,	36,1,	13,3,	29,3,	28,2,	36,1,	12,1,	37,1,	34,1,	10,3,	33,4,	10,4,	13,3,	41,1,	31,3,	10,1,	10,4,	9,3,	39,2,	14,3,	34,1,	32,2,	12,1,	10,4,	10,2,	13,2,	31,2,	12,2,	30,1,	10,4,	14,5,	8,6,	14,2,	9,3,	11,3,	10,4,	30,1,	35,1,	12,3,	13,2,	15,2,	9,3,	13,2,	13,3,	9,5,	14,2,	11,4,	9,2,	38,2,	12,3,	12,1,	14,3,	10,7,	14,2,	12,3,	12,2,	34,1,
8,7,	9,4,	30,1,	35,1,	13,1,	11,2,	33,3,	35,3,	9,7,	9,3,	31,1,	33,1,	11,3,	32,1,	9,3,	32,1,	12,3,	34,1,	11,2,	31,1,	14,1,	35,1,	9,2,	35,2,	13,1,	11,2,	11,1,	9,9,	40,2,	11,3,	11,1,	11,4,	12,3,	12,1,	8,5,	8,10,	39,1,	8,9,	10,5,	13,3,	13,3,	35,1,	9,2,	10,1,	8,5,	11,4,	12,1,	30,1,	14,1,	9,4,	31,3,	11,2,	12,3,	9,5,	9,2,	30,3,	13,1,	7,4,	14,1,	39,1,	31,2,	33,2,	9,2,	39,4,	35,2,	12,3,	28,1,	27,3,	35,2,	11,2,	36,1,	33,1,	9,3,	32,1,	9,7,	11,3,	40,2,	30,1,	9,3,	9,4,	8,7,	38,1,	13,1,	32,1,	30,1,	11,2,	9,4,	9,5,	12,3,	30,1,	11,2,	28,2,	9,2,	13,1,	7,4,	13,3,	8,5,	10,1,	9,2,	28,2,	33,1,	11,4,	12,1,	14,1,	8,5,	12,1,	12,3,	8,10,	13,3,	10,5,	8,9,	36,1,	11,1,	11,2,	13,1,	9,9,	11,4,	11,1,	11,3,	33,3,
7,2,	8,6,	28,1,	34,2,	11,3,	10,1,	30,1,	33,1,	8,5,	8,5,	29,2,	32,4,	10,2,	31,1,	8,6,	31,1,	11,6,	33,2,	10,1,	30,1,	13,1,	34,1,	8,5,	34,1,	11,5,	10,2,	10,1,	8,5,	39,2,	10,2,	10,5,	10,2,	11,1,	11,3,	7,6,	7,6,	38,2,	7,7,	9,1,	12,2,	11,5,	34,2,	8,5,	9,3,	7,10,	10,4,	11,1,	29,2,	13,3,	8,6,	30,2,	10,2,	10,3,	8,4,	8,4,	29,2,	12,2,	6,5,	13,1,	35,2,	30,1,	32,1,	8,5,	38,3,	33,2,	11,6,	27,2,	26,4,	34,1,	10,1,	34,1,	32,3,	8,5,	30,1,	8,5,	10,2,	35,1,	29,2,	8,6,	8,6,	7,2,	33,1,	11,3,	31,1,	29,1,	10,1,	8,6,	8,4,	10,3,	29,1,	10,2,	26,2,	8,4,	12,2,	6,5,	11,5,	7,10,	9,3,	8,5,	27,1,	32,1,	10,4,	11,1,	13,3,	7,6,	11,3,	11,1,	7,6,	12,2,	9,1,	7,7,	35,2,	10,1,	10,2,	11,5,	8,5,	10,2,	10,5,	10,2,	32,1,
6,8,	7,8,	27,1,	33,2,	10,2,	9,5,	29,1,	32,2,	7,8,	7,6,	28,1,	30,2,	9,2,	30,3,	7,8,	30,1,	10,1,	31,1,	9,4,	29,2,	12,4,	33,1,	7,6,	33,2,	10,1,	9,3,	8,8,	7,4,	38,7,	9,6,	9,7,	9,2,	10,1,	10,2,	6,4,	6,2,	37,3,	6,3,	8,5,	11,2,	10,1,	32,1,	7,7,	8,5,	6,8,	9,2,	10,2,	28,2,	12,2,	7,3,	29,1,	9,5,	9,4,	7,13,	7,7,	28,2,	11,2,	5,5,	12,4,	34,2,	29,4,	30,6,	7,6,	37,4,	31,1,	10,1,	26,4,	25,5,	33,1,	9,4,	32,2,	31,4,	7,6,	29,4,	7,8,	9,2,	32,1,	28,3,	7,8,	7,8,	6,8,	32,1,	10,2,	30,2,	28,2,	9,5,	7,3,	7,13,	9,4,	28,1,	9,5,	25,3,	7,7,	11,2,	5,5,	10,1,	6,8,	8,5,	7,7,	26,1,	31,1,	9,2,	10,2,	12,2,	6,4,	10,2,	10,1,	6,2,	11,2,	8,5,	6,3,	33,1,	8,8,	9,3,	10,1,	7,4,	9,2,	9,7,	9,6,	31,2,
5,6,	6,5,	26,1,	32,5,	9,3,	8,9,	28,6,	30,3,	6,8,	6,7,	27,2,	28,2,	8,5,	28,2,	6,6,	29,2,	9,4,	30,1,	8,5,	28,1,	11,5,	32,2,	6,9,	31,2,	9,5,	8,3,	7,6,	6,5,	37,2,	8,4,	8,2,	8,3,	9,4,	9,5,	5,8,	5,7,	36,6,	5,7,	7,1,	10,5,	9,2,	31,1,	6,5,	7,4,	5,3,	8,1,	9,5,	26,2,	11,1,	6,4,	28,5,	8,4,	8,3,	6,4,	6,5,	27,3,	10,4,	4,6,	11,5,	33,1,	28,1,	29,2,	6,9,	36,3,	30,2,	9,4,	25,3,	24,1,	30,1,	8,5,	31,2,	30,2,	6,7,	28,1,	6,8,	8,5,	30,1,	27,5,	6,6,	6,5,	5,6,	31,4,	9,3,	27,3,	26,2,	8,9,	6,4,	6,4,	8,3,	27,2,	8,4,	23,6,	6,5,	10,4,	4,6,	9,2,	5,3,	7,4,	6,5,	25,1,	30,4,	8,1,	9,5,	11,1,	5,8,	9,5,	9,4,	5,7,	10,5,	7,1,	5,7,	32,1,	7,6,	8,3,	9,5,	6,5,	8,3,	8,2,	8,4,	30,1,
4,4,	5,7,	25,4,	31,2,	8,3,	7,8,	27,4,	29,1,	5,3,	5,1,	26,1,	26,1,	7,5,	27,3,	5,7,	27,1,	8,8,	29,8,	7,7,	27,3,	10,4,	31,1,	5,6,	29,2,	8,2,	7,9,	6,7,	5,6,	36,2,	7,4,	7,3,	7,2,	8,2,	8,7,	4,7,	4,3,	35,2,	4,3,	6,3,	9,5,	8,4,	29,2,	5,4,	6,5,	4,4,	7,5,	8,4,	25,3,	10,1,	5,3,	27,4,	7,7,	7,6,	5,3,	5,7,	26,1,	9,4,	3,4,	10,4,	32,1,	27,2,	28,2,	5,6,	34,2,	28,4,	8,8,	24,1,	23,2,	28,4,	7,7,	30,1,	29,1,	5,1,	27,1,	5,3,	7,5,	29,2,	26,3,	5,7,	5,7,	4,4,	30,1,	8,3,	26,4,	25,2,	7,8,	5,3,	5,3,	7,6,	26,2,	7,7,	22,7,	5,7,	9,4,	3,4,	8,4,	4,4,	6,5,	5,4,	24,2,	28,1,	7,5,	8,4,	10,1,	4,7,	8,7,	8,2,	4,3,	9,5,	6,3,	4,3,	31,2,	6,7,	7,9,	8,2,	5,6,	7,2,	7,3,	7,4,	29,1,
3,6,	4,4,	23,4,	30,2,	7,3,	6,4,	25,3,	28,1,	4,3,	4,6,	24,3,	25,2,	6,3,	26,3,	4,3,	25,5,	7,5,	27,2,	6,8,	26,2,	9,2,	30,3,	4,2,	28,2,	7,4,	6,3,	5,6,	4,5,	34,2,	6,7,	6,7,	6,5,	7,4,	7,5,	3,5,	3,7,	34,2,	3,2,	5,4,	8,1,	7,10,	27,3,	4,5,	5,5,	3,7,	6,6,	7,3,	24,2,	9,3,	4,2,	26,1,	6,4,	6,8,	4,4,	4,2,	25,1,	8,6,	2,2,	9,2,	31,3,	26,1,	27,3,	4,2,	33,2,	27,2,	7,5,	23,2,	22,6,	27,1,	6,8,	29,1,	28,2,	4,6,	26,4,	4,3,	6,3,	28,2,	25,4,	4,3,	4,4,	3,6,	29,1,	7,3,	25,4,	24,4,	6,4,	4,2,	4,4,	6,8,	25,5,	6,4,	21,5,	4,2,	8,6,	2,2,	7,10,	3,7,	5,5,	4,5,	23,7,	27,1,	6,6,	7,3,	9,3,	3,5,	7,5,	7,4,	3,7,	8,1,	5,4,	3,2,	30,1,	5,6,	6,3,	7,4,	4,5,	6,5,	6,7,	6,7,	28,3,
