subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-1793622,ses2,	subsub-8735778,ses1,	subsub-4176156,ses1,	subsub-2475376,ses1,	subsub-0021018,ses2,	subsub-2799329,ses1,	subsub-3808535,ses1,	subsub-0021001,ses1,	subsub-3313349,ses2,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-4176156,ses2,	subsub-2475376,ses2,	subsub-0021018,ses1,	subsub-2799329,ses2,	subsub-3808535,ses2,	subsub-7055197,ses1,	subsub-3795193,ses1,	subsub-3201815,ses1,	subsub-9630905,ses1,	subsub-4288245,ses2,	subsub-7055197,ses2,	subsub-3795193,ses2,	subsub-3201815,ses2,	subsub-9630905,ses2,	subsub-4288245,ses1,	subsub-2842950,ses1,	subsub-0021024,ses1,	subsub-0021002,ses2,	subsub-2842950,ses2,	subsub-0021002,ses1,	subsub-0021024,ses2,	subsub-0021006,ses1,	subsub-1961098,ses2,	subsub-3315657,ses2,	subsub-0021006,ses2,	subsub-1961098,ses1,	subsub-3315657,ses1,	subsub-2799329,ses2,	subsub-3808535,ses2,	subsub-4176156,ses2,	subsub-2475376,ses2,	subsub-0021018,ses1,	subsub-0021001,ses1,	subsub-3313349,ses2,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-2799329,ses1,	subsub-3808535,ses1,	subsub-4176156,ses1,	subsub-2475376,ses1,	subsub-0021018,ses2,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-1793622,ses2,	subsub-8735778,ses1,	subsub-9630905,ses2,	subsub-4288245,ses1,	subsub-3201815,ses2,	subsub-7055197,ses2,	subsub-3795193,ses2,	subsub-9630905,ses1,	subsub-4288245,ses2,	subsub-3201815,ses1,	subsub-7055197,ses1,	subsub-3795193,ses1,	subsub-0021002,ses1,	subsub-0021024,ses2,	subsub-2842950,ses2,	subsub-0021024,ses1,	subsub-0021002,ses2,	subsub-2842950,ses1,	subsub-3315657,ses1,	subsub-0021006,ses2,	subsub-1961098,ses1,	subsub-3315657,ses2,	subsub-0021006,ses1,	subsub-1961098,ses2,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
34,2,	35,1,	48,2,	57,1,	36,1,	56,1,	39,1,	51,1,	32,1,	41,1,	35,1,	49,1,	54,1,	36,1,	58,1,	40,1,	49,1,	35,2,	54,1,	36,1,	32,1,	55,1,	34,1,	52,1,	35,1,	34,2,	56,1,	34,1,	57,1,	32,2,	35,1,	59,1,	34,1,	32,2,	34,1,	53,1,	53,1,	37,1,	50,2,	54,1,	34,1,	58,1,	52,1,	38,1,	54,2,	59,1,	54,1,	35,1,	39,1,	32,1,	54,1,	50,1,	39,1,	54,1,	54,1,	52,2,	35,1,	38,1,	37,1,	53,1,	56,1,	36,1,	51,1,	36,1,	56,1,	54,1,	39,1,	50,1,	50,1,	48,1,	39,2,	48,1,	51,1,	37,1,	34,1,	61,1,	36,1,	31,1,	57,1,	34,1,
29,1,	33,1,	47,1,	52,1,	33,1,	51,1,	37,1,	48,1,	31,1,	40,1,	32,1,	48,1,	52,1,	35,1,	47,2,	37,1,	47,1,	23,2,	53,1,	34,1,	31,1,	50,1,	32,1,	51,1,	32,1,	25,2,	49,1,	33,1,	54,1,	20,3,	34,1,	58,1,	32,1,	23,1,	33,1,	51,1,	50,1,	34,1,	44,4,	52,1,	31,1,	57,1,	51,1,	34,1,	48,1,	57,1,	50,1,	34,1,	31,1,	31,1,	48,1,	49,1,	34,1,	53,1,	49,1,	51,1,	32,1,	33,1,	30,1,	52,1,	55,1,	35,1,	49,1,	27,1,	51,1,	50,1,	36,1,	48,1,	48,1,	46,1,	31,1,	47,1,	50,1,	36,1,	33,1,	54,1,	35,1,	30,1,	49,1,	31,1,
25,1,	24,1,	45,1,	48,1,	23,1,	45,2,	26,1,	47,1,	19,1,	34,1,	28,2,	46,1,	45,2,	25,1,	44,2,	26,2,	42,1,	20,2,	45,1,	22,2,	23,2,	45,1,	27,1,	46,1,	26,1,	24,2,	46,1,	27,1,	52,2,	19,2,	27,1,	55,1,	27,1,	22,1,	26,1,	45,1,	42,1,	26,2,	41,2,	49,1,	27,1,	50,1,	46,1,	27,1,	47,1,	53,1,	48,1,	22,4,	26,2,	27,1,	47,1,	41,1,	27,1,	48,1,	47,1,	46,1,	25,1,	28,2,	29,2,	48,1,	52,1,	22,1,	46,1,	25,2,	49,1,	47,1,	24,2,	45,1,	47,2,	43,1,	28,1,	43,1,	49,1,	30,1,	24,1,	52,1,	29,1,	24,2,	48,1,	29,1,
24,1,	22,1,	43,1,	45,1,	22,1,	43,1,	24,3,	46,1,	17,4,	31,1,	24,1,	44,1,	42,1,	22,3,	42,1,	24,2,	41,2,	19,1,	44,3,	21,1,	22,2,	42,1,	26,1,	45,1,	25,1,	23,1,	44,1,	24,1,	51,1,	18,1,	23,1,	54,1,	23,1,	21,1,	24,1,	43,1,	39,1,	25,2,	40,2,	45,1,	21,2,	49,1,	41,1,	25,2,	46,3,	51,1,	47,2,	20,3,	25,1,	22,3,	39,2,	40,1,	26,1,	44,2,	46,1,	44,1,	21,2,	26,1,	24,1,	46,2,	51,1,	21,3,	44,1,	23,1,	48,1,	46,1,	23,2,	42,1,	45,1,	42,1,	26,1,	42,1,	46,1,	29,1,	22,1,	51,1,	26,2,	23,1,	47,1,	27,1,
23,1,	21,1,	38,2,	43,2,	20,1,	42,1,	23,1,	43,1,	16,1,	30,1,	23,1,	43,1,	41,2,	20,1,	40,2,	23,1,	40,1,	18,1,	43,2,	20,1,	21,1,	41,2,	23,2,	42,1,	24,1,	22,3,	43,4,	22,2,	48,1,	17,2,	21,1,	53,1,	21,2,	20,1,	23,1,	42,2,	38,1,	24,1,	39,2,	44,1,	20,2,	46,1,	40,1,	24,1,	43,3,	48,2,	43,2,	19,2,	22,1,	21,2,	38,2,	39,1,	23,3,	43,1,	43,1,	41,1,	20,1,	20,1,	23,1,	45,1,	50,1,	20,4,	42,2,	21,2,	45,1,	45,1,	22,1,	38,1,	42,1,	39,1,	25,1,	41,1,	44,1,	25,2,	21,1,	48,1,	25,2,	21,1,	46,1,	26,2,
22,2,	20,1,	36,1,	41,1,	18,1,	39,1,	22,1,	42,2,	15,4,	24,1,	21,5,	42,1,	38,3,	19,1,	38,1,	22,1,	39,1,	17,4,	41,1,	19,1,	20,3,	40,1,	21,2,	41,2,	23,4,	20,3,	42,1,	21,2,	47,3,	16,2,	20,3,	49,1,	20,2,	19,1,	22,2,	40,1,	37,2,	23,1,	38,1,	38,1,	19,2,	45,2,	37,1,	22,3,	40,1,	46,1,	41,2,	15,1,	21,1,	20,2,	34,1,	35,1,	20,1,	42,1,	42,1,	40,1,	19,3,	19,3,	21,2,	40,2,	47,1,	19,4,	39,2,	20,1,	44,1,	44,1,	21,1,	37,1,	41,1,	36,1,	23,2,	38,1,	42,1,	24,1,	20,1,	47,1,	23,1,	19,3,	43,2,	25,2,
21,2,	19,2,	35,1,	40,2,	17,3,	38,3,	21,1,	40,1,	14,5,	23,2,	20,2,	41,2,	37,2,	17,3,	37,2,	21,1,	38,2,	16,1,	40,1,	18,1,	19,3,	38,3,	20,2,	39,3,	20,1,	18,1,	41,1,	20,2,	46,1,	14,3,	19,1,	45,2,	19,1,	18,1,	21,2,	39,1,	35,1,	22,3,	37,1,	37,2,	17,2,	44,1,	35,1,	21,1,	38,1,	44,2,	40,1,	13,2,	19,3,	18,1,	33,1,	33,2,	19,4,	40,1,	41,3,	39,2,	18,1,	18,4,	20,2,	39,1,	44,1,	18,1,	38,1,	19,1,	43,1,	42,1,	20,3,	36,1,	38,2,	35,2,	22,1,	35,1,	41,1,	23,2,	19,2,	46,2,	22,1,	18,2,	41,1,	21,3,
20,2,	18,3,	33,2,	39,2,	16,1,	37,2,	19,1,	39,1,	13,4,	22,2,	19,1,	39,1,	36,2,	16,2,	36,1,	20,1,	37,1,	15,5,	39,1,	17,1,	18,1,	37,1,	18,3,	38,1,	19,1,	17,1,	39,1,	19,1,	44,1,	13,2,	18,1,	43,2,	18,1,	16,1,	20,1,	38,3,	34,1,	21,3,	34,1,	36,1,	16,1,	42,1,	34,2,	19,1,	37,1,	43,3,	38,1,	12,4,	18,2,	17,1,	31,2,	31,1,	17,2,	39,1,	40,2,	36,2,	17,1,	17,5,	19,1,	36,1,	43,2,	17,1,	35,1,	18,1,	42,1,	40,3,	19,1,	34,1,	34,2,	34,1,	21,1,	33,2,	39,1,	21,4,	18,2,	45,1,	21,1,	17,1,	40,1,	20,2,
18,1,	17,4,	32,1,	38,1,	15,1,	36,1,	18,2,	38,1,	12,2,	21,2,	17,1,	36,2,	35,2,	14,4,	35,3,	19,5,	35,2,	14,8,	38,2,	16,2,	16,1,	36,1,	17,2,	37,1,	17,2,	16,3,	38,1,	18,1,	43,2,	12,3,	16,4,	41,1,	17,1,	15,3,	19,4,	37,1,	33,3,	19,1,	33,1,	34,2,	15,6,	41,1,	33,2,	18,2,	35,1,	42,2,	37,1,	11,6,	17,3,	16,4,	30,1,	30,1,	16,1,	37,2,	39,1,	35,1,	15,1,	16,1,	18,2,	34,1,	42,1,	16,3,	34,1,	17,2,	41,1,	38,1,	17,2,	33,3,	32,1,	33,2,	20,4,	32,2,	36,1,	20,3,	17,2,	40,2,	20,1,	16,1,	38,2,	18,2,
17,1,	16,3,	31,1,	36,2,	14,2,	34,2,	17,3,	36,1,	11,3,	20,3,	16,2,	35,1,	34,3,	13,5,	34,2,	18,5,	34,2,	13,2,	35,1,	15,4,	15,4,	35,2,	16,2,	36,1,	16,3,	15,2,	37,1,	17,2,	41,2,	11,5,	15,2,	40,2,	16,2,	14,2,	18,1,	36,1,	31,1,	18,1,	32,1,	32,1,	14,5,	40,1,	32,1,	17,1,	34,1,	40,3,	36,1,	10,5,	16,3,	14,4,	29,3,	28,2,	15,3,	36,1,	37,1,	34,1,	14,1,	15,1,	17,1,	33,4,	41,1,	15,1,	31,3,	16,3,	39,2,	34,1,	16,2,	32,2,	31,2,	30,1,	19,2,	30,1,	35,1,	19,3,	16,2,	38,2,	19,2,	15,2,	34,1,	17,1,
16,1,	15,2,	30,1,	35,1,	13,4,	33,3,	16,2,	35,3,	10,9,	19,3,	15,2,	31,1,	33,1,	12,3,	32,1,	17,1,	32,1,	12,2,	34,1,	14,1,	14,3,	31,1,	15,2,	35,1,	15,1,	14,2,	35,2,	16,2,	40,2,	10,3,	14,1,	39,1,	15,4,	13,3,	17,1,	35,1,	30,1,	16,2,	31,3,	30,3,	13,2,	39,1,	31,2,	16,3,	33,2,	39,4,	35,2,	9,5,	15,3,	13,5,	28,1,	27,3,	14,1,	35,2,	36,1,	33,1,	13,1,	14,3,	16,1,	32,1,	40,2,	14,1,	30,1,	15,2,	38,1,	32,1,	15,3,	30,1,	30,1,	28,2,	18,2,	28,2,	33,1,	18,1,	15,2,	36,1,	18,3,	14,1,	33,3,	16,2,
15,4,	14,4,	28,1,	34,2,	12,2,	30,1,	15,3,	33,1,	9,4,	18,4,	14,5,	29,2,	32,4,	11,4,	31,1,	16,1,	31,1,	11,6,	33,2,	13,4,	13,2,	30,1,	14,3,	34,1,	14,5,	13,6,	34,1,	15,2,	39,2,	9,4,	13,6,	38,2,	14,2,	12,5,	16,1,	34,2,	29,2,	15,1,	30,2,	29,2,	12,1,	35,2,	30,1,	15,3,	32,1,	38,3,	33,2,	8,9,	13,3,	12,2,	27,2,	26,4,	13,8,	34,1,	34,1,	32,3,	12,3,	13,3,	15,2,	30,1,	35,1,	13,3,	29,2,	13,3,	33,1,	31,1,	14,2,	29,1,	29,1,	26,2,	17,1,	27,1,	32,1,	17,4,	14,1,	35,2,	17,3,	13,2,	32,1,	15,1,
14,8,	13,3,	27,1,	33,2,	11,6,	29,1,	14,2,	32,2,	8,5,	17,1,	13,3,	28,1,	30,2,	10,2,	30,3,	15,1,	30,1,	10,5,	31,1,	12,5,	12,4,	29,2,	13,2,	33,1,	13,2,	12,5,	33,2,	14,2,	38,7,	8,5,	12,6,	37,3,	13,4,	11,3,	15,3,	32,1,	28,2,	13,2,	29,1,	28,2,	11,4,	34,2,	29,4,	14,1,	30,6,	37,4,	31,1,	7,7,	12,4,	11,6,	26,4,	25,5,	11,3,	33,1,	32,2,	31,4,	11,5,	12,6,	14,7,	29,4,	32,1,	12,1,	28,3,	12,4,	32,1,	30,2,	13,6,	28,2,	28,1,	25,3,	16,3,	26,1,	31,1,	16,1,	13,3,	33,1,	15,2,	12,3,	31,2,	14,2,
13,2,	12,4,	26,1,	32,5,	10,4,	28,6,	13,2,	30,3,	7,3,	16,1,	12,4,	27,2,	28,2,	9,4,	28,2,	14,3,	29,2,	9,3,	30,1,	11,7,	11,3,	28,1,	12,1,	32,2,	12,4,	11,3,	31,2,	13,3,	37,2,	7,6,	11,2,	36,6,	12,4,	10,3,	13,1,	31,1,	26,2,	12,5,	28,5,	27,3,	10,1,	33,1,	28,1,	13,3,	29,2,	36,3,	30,2,	6,2,	11,9,	10,4,	25,3,	24,1,	10,6,	30,1,	31,2,	30,2,	10,7,	11,2,	13,4,	28,1,	30,1,	11,2,	27,5,	11,8,	31,4,	27,3,	12,3,	26,2,	27,2,	23,6,	15,5,	25,1,	30,4,	15,4,	12,5,	32,1,	14,1,	11,4,	30,1,	13,5,
12,3,	11,1,	25,4,	31,2,	9,5,	27,4,	12,5,	29,1,	6,5,	15,3,	11,7,	26,1,	26,1,	8,5,	27,3,	13,1,	27,1,	8,5,	29,8,	10,2,	10,5,	27,3,	11,8,	31,1,	11,4,	10,1,	29,2,	12,3,	36,2,	6,4,	10,2,	35,2,	11,4,	9,6,	12,3,	29,2,	25,3,	11,6,	27,4,	26,1,	9,4,	32,1,	27,2,	12,4,	28,2,	34,2,	28,4,	5,1,	8,5,	9,2,	24,1,	23,2,	9,2,	28,4,	30,1,	29,1,	9,10,	10,2,	12,3,	27,1,	29,2,	10,3,	26,3,	10,6,	30,1,	26,4,	11,2,	25,2,	26,2,	22,7,	14,5,	24,2,	28,1,	14,1,	11,3,	31,2,	13,3,	10,5,	29,1,	11,1,
11,1,	10,1,	23,4,	30,2,	8,6,	25,3,	11,2,	28,1,	5,4,	14,5,	10,2,	24,3,	25,2,	7,7,	26,3,	12,4,	25,5,	7,5,	27,2,	9,6,	9,2,	26,2,	10,3,	30,3,	10,4,	9,4,	28,2,	11,3,	34,2,	5,5,	9,6,	34,2,	10,1,	8,6,	11,3,	27,3,	24,2,	10,3,	26,1,	25,1,	8,8,	31,3,	26,1,	11,3,	27,3,	33,2,	27,2,	4,6,	7,6,	8,4,	23,2,	22,6,	8,5,	27,1,	29,1,	28,2,	8,3,	9,3,	11,5,	26,4,	28,2,	9,2,	25,4,	9,1,	29,1,	25,4,	10,2,	24,4,	25,5,	21,5,	13,3,	23,7,	27,1,	13,4,	10,3,	30,1,	12,2,	9,4,	28,3,	10,6,
10,3,	9,3,	22,3,	29,2,	7,6,	24,3,	10,5,	27,2,	4,4,	13,2,	9,1,	23,3,	23,3,	6,3,	25,3,	11,4,	24,3,	6,4,	26,1,	8,2,	8,3,	25,3,	9,3,	29,2,	9,2,	8,1,	27,1,	10,3,	33,1,	4,5,	8,5,	33,2,	9,8,	7,5,	10,4,	26,5,	23,4,	9,3,	25,1,	24,4,	7,6,	28,6,	25,3,	10,3,	26,6,	30,1,	26,2,	3,1,	6,1,	7,4,	22,1,	21,1,	7,5,	26,1,	28,2,	27,4,	7,6,	8,7,	10,2,	25,1,	27,5,	8,7,	24,3,	8,2,	28,4,	24,6,	9,3,	23,6,	24,6,	20,5,	12,4,	22,3,	26,5,	11,2,	9,6,	29,3,	11,2,	8,7,	27,2,	9,4,
9,3,	8,1,	21,7,	27,1,	6,4,	23,3,	9,5,	25,4,	3,6,	12,2,	8,1,	22,4,	22,4,	5,2,	24,4,	10,6,	23,2,	5,3,	25,2,	7,6,	7,4,	24,5,	8,3,	28,1,	8,5,	7,3,	26,3,	9,5,	32,2,	3,4,	7,5,	32,2,	8,3,	6,5,	9,6,	25,4,	22,1,	8,4,	24,4,	23,1,	6,2,	27,2,	24,2,	9,4,	25,2,	27,1,	25,6,	2,4,	5,4,	6,5,	21,5,	20,2,	6,5,	25,5,	27,4,	26,1,	6,4,	7,2,	9,3,	24,4,	26,4,	7,8,	23,2,	7,5,	27,1,	23,6,	8,7,	22,5,	23,2,	19,2,	11,2,	21,4,	25,4,	10,1,	8,7,	28,2,	10,2,	7,5,	26,3,	8,4,
8,1,	7,7,	20,4,	26,1,	5,5,	22,4,	8,4,	24,2,	0,0,	11,2,	7,3,	21,4,	21,3,	4,6,	23,2,	9,3,	22,10,	4,4,	24,2,	6,3,	6,3,	22,3,	7,3,	27,2,	7,4,	6,4,	25,6,	8,2,	30,2,	2,2,	6,3,	31,1,	7,6,	5,2,	8,5,	24,4,	21,3,	7,7,	23,1,	22,2,	5,8,	26,3,	23,6,	8,2,	24,6,	26,3,	24,4,	1,2,	4,1,	5,5,	20,2,	19,6,	5,5,	24,5,	26,3,	25,1,	5,4,	6,4,	8,4,	23,2,	25,3,	6,5,	22,3,	6,5,	25,1,	22,4,	7,6,	21,8,	22,10,	18,5,	9,3,	20,6,	24,3,	9,8,	7,5,	27,3,	9,5,	6,3,	25,2,	7,3,
7,5,	6,8,	19,5,	25,1,	4,1,	21,1,	7,3,	23,3,	0,0,	9,3,	6,4,	20,6,	20,4,	3,4,	22,3,	8,3,	21,3,	3,1,	23,4,	5,3,	5,6,	21,6,	6,4,	24,3,	6,3,	5,6,	24,1,	7,9,	28,2,	1,2,	5,3,	30,2,	6,2,	4,5,	7,6,	23,2,	20,6,	6,4,	21,1,	21,9,	4,2,	25,2,	22,1,	7,6,	23,4,	25,1,	23,6,	0,0,	3,7,	4,3,	19,4,	18,4,	4,3,	23,10,	25,4,	24,1,	4,1,	5,4,	7,2,	21,5,	24,5,	5,5,	21,3,	5,5,	24,6,	21,6,	6,3,	20,6,	21,2,	15,1,	8,5,	19,7,	23,5,	8,6,	6,2,	26,1,	8,4,	5,3,	23,3,	6,4,
6,7,	5,3,	18,2,	24,1,	3,6,	20,3,	6,3,	22,6,	0,0,	8,3,	5,1,	19,4,	19,1,	2,2,	21,4,	7,2,	20,5,	0,0,	22,4,	4,4,	4,3,	20,6,	5,5,	23,3,	5,3,	4,3,	23,7,	6,1,	27,1,	0,0,	4,3,	29,1,	5,3,	3,3,	6,3,	22,2,	19,5,	5,2,	20,2,	20,3,	2,1,	24,2,	21,4,	6,8,	22,4,	24,1,	22,2,	0,0,	2,3,	3,1,	18,6,	17,3,	2,3,	22,6,	24,2,	23,5,	3,3,	4,1,	6,6,	20,4,	23,3,	4,1,	20,6,	4,3,	22,3,	20,4,	5,3,	19,1,	20,6,	14,4,	7,5,	18,2,	22,5,	7,4,	5,2,	25,5,	7,3,	4,6,	22,3,	5,1,
5,1,	4,4,	17,4,	23,3,	2,2,	19,3,	5,4,	21,6,	0,0,	7,7,	4,5,	18,3,	18,2,	1,2,	20,1,	6,5,	19,4,	0,0,	21,2,	3,2,	3,1,	19,1,	4,2,	22,3,	4,3,	3,1,	22,4,	5,4,	25,1,	0,0,	3,2,	27,1,	4,4,	2,2,	5,1,	21,3,	18,3,	4,5,	19,1,	19,4,	1,2,	23,2,	20,1,	5,1,	21,4,	23,1,	21,2,	0,0,	1,2,	2,2,	17,4,	16,4,	1,1,	21,2,	23,4,	21,2,	2,2,	3,8,	5,2,	19,2,	22,5,	3,1,	19,2,	3,2,	21,7,	18,2,	4,3,	18,3,	19,3,	13,1,	6,5,	15,1,	21,5,	6,5,	4,9,	24,3,	6,3,	3,3,	21,3,	4,6,
