sub8735778,ses2,	sub1793622,ses1,	sub2475376,ses2,	sub2799329,ses2,	sub8735778,ses1,	sub1793622,ses2,	sub2475376,ses1,	sub2799329,ses1,	sub7055197,ses2,	sub9630905,ses2,	sub7055197,ses1,	sub9630905,ses1,	sub2842950,ses2,	sub2842950,ses1,	sub1961098,ses1,	sub3315657,ses1,	sub1961098,ses2,	sub3315657,ses2,	sub3808535,ses1,	sub0021018,ses2,	sub4176156,ses1,	sub3313349,ses1,	sub0021001,ses2,	sub3808535,ses2,	sub0021018,ses1,	sub4176156,ses2,	sub0021001,ses1,	sub3313349,ses2,	sub4288245,ses2,	sub3201815,ses1,	sub3795193,ses1,	sub4288245,ses1,	sub3201815,ses2,	sub3795193,ses2,	sub0021024,ses1,	sub0021002,ses2,	sub0021002,ses1,	sub0021024,ses2,	sub0021006,ses1,	sub0021006,ses2,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
57,1,	51,1,	61,1,	53,1,	59,1,	50,2,	62,1,	53,1,	54,1,	60,1,	54,1,	58,1,	62,1,	59,1,	53,2,	56,1,	57,1,	58,1,	57,1,	56,1,	53,2,	55,1,	57,1,	60,1,	54,2,	57,1,	61,1,	55,1,	57,1,	54,1,	51,2,	55,1,	61,1,	54,1,	49,1,	54,1,	51,1,	50,2,	61,1,	62,1,
54,1,	49,1,	52,1,	48,1,	54,1,	49,1,	53,1,	50,1,	53,1,	52,1,	53,1,	50,1,	59,1,	55,2,	47,1,	54,2,	52,1,	50,1,	51,2,	55,1,	45,1,	52,1,	55,1,	58,1,	52,2,	52,1,	59,1,	52,1,	52,2,	51,1,	46,1,	54,1,	56,1,	52,1,	48,1,	52,1,	50,1,	44,1,	53,1,	55,3,
49,1,	47,3,	51,1,	46,1,	49,1,	48,1,	52,1,	49,2,	51,1,	50,2,	49,1,	48,1,	58,2,	53,1,	46,2,	47,1,	47,1,	46,1,	46,1,	52,1,	43,1,	50,1,	53,1,	56,1,	51,1,	51,1,	55,2,	51,1,	51,1,	48,1,	45,1,	52,1,	52,1,	49,1,	44,2,	49,2,	48,1,	43,1,	51,3,	52,1,
48,1,	46,1,	48,1,	43,1,	46,3,	46,1,	48,1,	48,1,	48,1,	48,2,	48,1,	45,3,	55,1,	52,2,	45,2,	46,2,	46,2,	42,1,	44,2,	46,3,	41,1,	49,1,	51,1,	54,1,	49,1,	45,2,	54,1,	49,1,	50,1,	47,1,	42,2,	51,1,	51,1,	48,1,	43,1,	48,1,	47,2,	41,2,	48,1,	50,2,
46,1,	45,1,	46,1,	42,3,	44,2,	40,2,	47,1,	47,1,	47,1,	47,1,	45,2,	44,1,	52,3,	50,2,	43,1,	44,1,	44,1,	41,1,	42,1,	45,1,	38,1,	47,2,	45,2,	51,1,	48,2,	44,1,	53,1,	48,1,	48,1,	46,2,	41,1,	50,3,	50,1,	46,1,	42,1,	47,1,	43,1,	40,1,	45,1,	48,1,
45,2,	43,3,	44,2,	41,3,	41,6,	39,1,	46,1,	43,1,	44,2,	45,2,	44,3,	43,1,	47,2,	49,1,	42,1,	41,2,	43,2,	40,2,	39,1,	43,1,	37,1,	45,2,	42,1,	49,2,	47,1,	37,2,	49,1,	45,3,	47,1,	45,2,	38,1,	46,1,	49,1,	44,1,	40,1,	45,1,	42,1,	39,1,	44,2,	47,1,
43,1,	40,2,	43,1,	37,1,	38,3,	38,1,	45,1,	42,1,	43,1,	44,2,	43,1,	42,1,	43,1,	48,1,	41,4,	40,2,	42,3,	39,2,	36,1,	42,2,	36,1,	43,3,	41,1,	47,1,	43,1,	36,1,	48,3,	43,2,	45,2,	44,1,	37,1,	44,1,	48,2,	43,1,	37,3,	39,1,	41,1,	38,1,	43,1,	46,1,
42,1,	37,1,	42,1,	36,1,	37,5,	37,3,	44,1,	41,3,	42,1,	43,1,	42,2,	41,1,	42,3,	45,3,	40,1,	36,1,	39,1,	38,2,	35,2,	39,3,	35,1,	41,2,	40,2,	45,1,	42,2,	35,3,	46,1,	41,4,	42,1,	41,1,	36,2,	38,1,	47,1,	41,1,	34,1,	38,1,	39,1,	37,1,	40,1,	42,1,
41,2,	33,1,	41,1,	35,1,	36,1,	35,1,	40,3,	40,2,	41,4,	41,1,	41,1,	40,3,	41,3,	43,3,	37,1,	33,1,	38,3,	37,1,	34,2,	37,3,	33,2,	39,2,	39,1,	43,2,	41,2,	34,2,	45,1,	38,2,	41,2,	39,1,	34,1,	37,1,	46,2,	40,1,	32,1,	37,2,	37,2,	36,1,	39,1,	41,1,
