session_id,session_number,threshold,density, avg_clst,                   avg_deg, topo r2, diameter, num_clq, max_clq_size, max_load_cent,                   str connected comps, degdist r2 
2799329,2,80,0.1258,0.5660,6,0.0037,6,54,8,0.33440050951843375,1,0.22839095820919886
3315657,1,80,0.1071,0.5816,6,0.0111,8,58,8,0.42607144100330163,1,0.21806095263758984
3808535,1,80,0.0894,0.4741,5,0.0001,6,62,6,0.5281486794171222,1,0.30221957154423384
1793622,1,80,0.1028,0.4826,5,0.0225,9,58,9,0.3565209153836975,1,0.21612778377430086
4176156,2,80,0.1096,0.5033,6,0.0112,0,57,9,0.32910182056227955,2,0.28851924126149064
4288245,2,80,0.1087,0.5278,6,0.0235,0,59,11,0.25059823889225,2,0.46761735618001454
9630905,1,80,0.1089,0.5166,6,0.0235,9,58,9,0.28679586698227066,1,0.2808580742768232
0021006,2,80,0.1198,0.5557,6,0.0316,0,58,12,0.2554910962923182,2,0.37637097077682025
1793622,2,80,0.1084,0.5498,5,0.0000,8,56,9,0.3969086700336698,1,0.22109209333787483
2475376,2,80,0.1122,0.4974,6,0.0186,8,59,9,0.3664314321883897,1,0.2923261066667111
0021001,1,80,0.1271,0.5605,7,0.0026,7,60,9,0.45147433332869463,1,0.2104274085286718
8735778,1,80,0.1036,0.5515,6,0.0005,6,62,9,0.3892895849596673,1,0.26256839875725946
0021002,2,80,0.1095,0.5580,6,0.0064,7,58,8,0.39032581453634085,1,0.18419200489355725
0021024,2,80,0.1183,0.5508,6,0.0020,10,53,9,0.2841244029663147,1,0.2295287620139379
2842950,1,80,0.1240,0.6050,7,0.0285,6,61,10,0.3283758556781155,1,0.1928628856021467
2799329,1,80,0.1165,0.5251,6,0.0181,7,57,10,0.2781004560915276,1,0.3042807741820517
3808535,2,80,0.0982,0.5678,6,0.0886,6,64,6,0.46620560012137113,1,0.26736587964981307
0021024,1,80,0.1118,0.5153,5,0.0138,9,54,9,0.26046202225447496,1,0.29036247250292657
4176156,1,80,0.1071,0.5303,5,0.0071,0,56,7,0.41100271230826796,2,0.1838607036732438
3201815,2,80,0.1180,0.5554,6,0.0037,7,58,10,0.30016180083144384,1,0.33241319167949535
3313349,2,80,0.1356,0.5843,7,0.0072,8,54,10,0.3023614662765608,1,0.2849360595484637
3313349,1,80,0.1349,0.5909,7,0.0000,7,54,9,0.3313851668509686,1,0.3076521242883197
2842950,2,80,0.1200,0.5481,7,0.0044,7,62,10,0.3719896745887185,1,0.29698831615900756
8735778,2,80,0.1143,0.5329,6,0.0051,5,58,9,0.33512741426980147,1,0.31780339727497053
1961098,1,80,0.1227,0.5503,6,0.0193,0,56,11,0.23755233552455776,4,0.35103257874761384
4288245,1,80,0.1140,0.5066,6,0.0532,8,57,11,0.29597434807256223,1,0.37319331561926417
0021001,2,80,0.1239,0.5672,6,0.0004,8,55,7,0.41462031213603556,1,0.3128123468609675
0021018,2,80,0.1122,0.5378,6,0.0078,7,59,9,0.35479359317834813,1,0.4208727381585269
1961098,2,80,0.1172,0.4867,6,0.1297,0,57,11,0.21765228818800228,3,0.4639194415696257
7055197,1,90,0.1380,0.4894,5,0.0673,0,38,8,0.23630088421755077,2,0.4165770635730063
9630905,2,90,0.1195,0.3813,4,0.2177,0,41,8,0.12355769230769231,2,0.4527663206906578
3315657,2,90,0.1147,0.3133,4,0.3625,0,39,7,0.04858147621305516,4,0.6937898876475965
3201815,1,90,0.1167,0.3533,4,0.2796,0,40,8,0.32978238866396736,2,0.4666074733088228
2475376,1,90,0.1063,0.3761,4,0.1374,7,43,8,0.40882694541231124,1,0.6091873734912762
7055197,2,90,0.1381,0.3817,4,0.2305,0,37,7,0.19412414965986388,2,0.5279851956728194
0021002,1,90,0.0997,0.4280,4,0.0034,0,43,5,0.3557684862562912,2,0.3917007485971852
3795193,2,90,0.1396,0.4765,5,0.1967,0,37,8,0.17015873015873018,2,0.6783828009868749
3795193,1,90,0.1022,0.4082,4,0.0602,0,42,6,0.4037161246612466,2,0.40962986237476595
0021006,1,90,0.1460,0.3883,5,0.2645,0,36,8,0.21756302521008403,2,0.6412583879957914
0021018,1,90,0.1099,0.3935,4,0.1379,0,44,8,0.23757844222960497,2,0.5294192585918984
2799329,2,90,0.1045,0.3551,4,0.1885,7,42,8,0.3584748838559814,1,0.6017156132807434
3315657,1,90,0.0986,0.3250,4,0.1366,9,43,7,0.4586236933797909,1,0.5924990761724732
3808535,1,90,0.0754,0.3000,3,0.0675,8,48,5,0.6386062288004934,1,0.29791249832038347
1793622,1,90,0.1037,0.3264,4,0.3164,0,41,8,0.21581196581196585,4,0.6523947932369674
4176156,2,90,0.1188,0.4602,4,0.0393,0,39,7,0.30549431009957323,2,0.3868001648607804
4288245,2,90,0.1476,0.4640,5,0.1534,0,36,9,0.3932427971188475,2,0.6544051222885817
9630905,1,90,0.1429,0.4075,5,0.2145,7,36,8,0.13949579831932774,1,0.44162988240949874
0021006,2,90,0.1875,0.4094,6,0.5461,0,33,10,0.05728766641065029,3,0.5646580696640232
1793622,2,90,0.0888,0.2929,3,0.2882,0,44,7,0.37126245847176076,3,0.49267869699155653
2475376,2,90,0.1115,0.4483,4,0.0458,0,42,8,0.39634146341463417,2,0.45006175823073613
0021001,1,90,0.1045,0.4092,4,0.1854,0,47,8,0.38835323850420467,3,0.49047006490148226
8735778,1,90,0.1036,0.3872,4,0.1259,0,44,7,0.286062991087908,4,0.5248668079560348
0021002,2,90,0.1008,0.3969,4,0.0364,0,43,5,0.31717640985933665,2,0.2769557429818126
0021024,2,90,0.1302,0.4697,4,0.0364,0,36,6,0.19711951447245574,2,0.33436568659493515
2842950,1,90,0.1055,0.4898,4,0.0124,7,47,9,0.4619189479334404,1,0.43431953222691766
2799329,1,90,0.1192,0.3731,4,0.2343,9,40,8,0.4506897585844955,1,0.589881173705759
3808535,2,90,0.0667,0.2839,3,0.1103,0,55,5,0.5621069182389937,2,0.38809054407581733
0021024,1,90,0.1270,0.4704,4,0.0314,0,36,7,0.15953314659197024,2,0.2846240580978575
4176156,1,90,0.0759,0.3249,3,0.0457,0,47,5,0.3839517355519772,4,0.44184884526141965
3201815,2,90,0.1195,0.4153,4,0.1644,8,41,9,0.47865537240537204,1,0.38446482123253023
3313349,2,90,0.1630,0.5369,5,0.0578,6,35,8,0.4231633562515915,1,0.40547141830138056
3313349,1,90,0.1183,0.4155,4,0.1108,0,41,8,0.36332417582417575,2,0.49767579726313127
2842950,2,90,0.1055,0.4444,4,0.0463,7,47,8,0.4987746338470973,1,0.44074832884044746
8735778,2,90,0.1282,0.3545,4,0.2969,0,39,8,0.3630255255255255,2,0.5815913243730629
1961098,1,90,0.1799,0.3548,5,0.5334,0,33,8,0.219332037250384,2,0.5595178940806651
4288245,1,90,0.1444,0.3822,5,0.2833,0,36,9,0.37661764705882345,2,0.7031641807876181
0021001,2,90,0.0929,0.4373,4,0.0138,0,45,5,0.4671276720695325,3,0.30613872319763036
0021018,2,90,0.1171,0.5099,4,0.0093,6,41,7,0.4264476495726496,1,0.39117387286172856
1961098,2,90,0.1411,0.3591,5,0.3668,0,37,8,0.04648526077097506,3,0.6263333836677683
7055197,1,92.5,0.1383,0.4261,4,0.1335,0,33,7,0.20164650537634402,2,0.4688810875668322
9630905,2,92.5,0.1472,0.3494,4,0.3326,0,32,7,0.08360215053763441,2,0.6627397141801673
3315657,2,92.5,0.1693,0.3856,4,0.3141,0,28,7,0.008990186767964542,3,0.5318286050138088
3201815,1,92.5,0.1079,0.3686,3,0.2526,0,36,7,0.05486194477791116,5,0.5981248463193433
2475376,1,92.5,0.1283,0.3472,4,0.2150,7,34,7,0.38589015151515155,1,0.616637115474004
7055197,2,92.5,0.1484,0.3703,4,0.2987,0,31,7,0.09947637292464874,3,0.6198292524200897
0021002,1,92.5,0.1021,0.3022,3,0.1085,7,37,5,0.4446031746031746,1,0.4727848710564073
3795193,2,92.5,0.1724,0.3474,4,0.5943,0,29,7,0.1751984126984127,2,0.6179842165303457
3795193,1,92.5,0.1109,0.4067,3,0.0841,0,35,5,0.2463606654783126,3,0.503171224864057
0021006,1,92.5,0.1484,0.3369,4,0.3631,0,31,6,0.18193805874840366,2,0.5931970770298286
0021018,1,92.5,0.1110,0.3132,4,0.2588,0,38,7,0.2349537037037037,2,0.5463146942242152
2799329,2,92.5,0.1371,0.4043,4,0.2257,0,32,7,0.058691756272401426,3,0.5381456363131084
3315657,1,92.5,0.1063,0.2760,3,0.3101,0,36,6,0.05303454715219419,4,0.58323424013014
