session_id,session_number,threshold,density, avg_clst,                   avg_deg, r2, diameter, max_load_cent, weak_concomp,
sub-1961098,2,10,0.2945,0.7374,40,0.4538,4,0.12249773147903284,1
sub-1961098,1,10,0.2841,0.7145,39,0.1403,4,0.10759133584401112,1
sub-4288245,1,10,0.2849,0.7320,38,0.7577,4,0.12175817841250833,1
sub-2475376,2,10,0.2875,0.7135,38,0.2350,4,0.09378936370482437,1
sub-8735778,2,10,0.2997,0.7249,40,0.6025,4,0.10782092426193565,1
sub-3313349,1,10,0.3081,0.7346,42,0.6493,4,0.07769633545492197,1
sub-3808535,1,10,0.2549,0.7141,34,0.7945,5,0.18196224874295427,1
sub-3808535,2,10,0.2643,0.7092,35,0.7151,4,0.15289917375368609,1
sub-8735778,1,10,0.2916,0.6968,39,0.5548,4,0.09623404263558454,1
sub-3313349,2,10,0.3163,0.7574,43,0.7543,4,0.07239973894727103,1
sub-2475376,1,10,0.3053,0.7193,40,0.3366,4,0.08091919634731566,1
sub-4288245,2,10,0.2884,0.7327,38,0.7203,4,0.1352470058888046,1
sub-0021018,2,10,0.2994,0.7641,40,0.6246,4,0.11417391216820472,1
sub-0021018,1,10,0.3139,0.7681,42,0.3938,4,0.1213351524566747,1
sub-0021002,2,10,0.2779,0.7379,37,0.8214,4,0.12465352971760013,1
sub-3795193,1,10,0.2695,0.7253,36,0.3120,5,0.18178659910026584,1
sub-2842950,1,10,0.3077,0.7239,41,0.6417,4,0.0668851299719966,1
sub-0021024,2,10,0.2744,0.7280,36,0.4715,4,0.10429473559291036,1
sub-2842950,2,10,0.3117,0.7171,41,0.5593,4,0.10136434415432943,1
sub-0021024,1,10,0.2651,0.7376,35,0.7430,4,0.1351410721219686,1
sub-0021002,1,10,0.2775,0.7340,37,0.8125,4,0.11686055241131328,1
sub-3795193,2,10,0.3016,0.7543,40,0.2449,4,0.16382249643108393,1
sub-7055197,2,10,0.2694,0.6978,36,0.2840,5,0.13641721296761264,1
sub-7055197,1,10,0.2596,0.7208,35,0.5348,5,0.14945903564177046,1
sub-2799329,2,10,0.2893,0.7303,38,0.6713,4,0.12633605419154106,1
sub-2799329,1,10,0.2928,0.7236,39,0.6359,4,0.11471375935576841,1
sub-0021001,1,10,0.3323,0.7345,44,0.2133,4,0.09215330381786303,1
sub-9630905,2,10,0.3025,0.7430,40,0.2423,4,0.17030866906892,1
sub-4176156,1,10,0.2450,0.7311,32,0.6678,4,0.18537928242213236,1
